Datum Zeit,Leipzig-Luetzner Straße NO
,µg/m³
01-02-09 00:00,23
31-01-09 23:00,28
31-01-09 22:00,19
31-01-09 21:00,33
31-01-09 20:00,36
31-01-09 19:00,49
31-01-09 18:00,53
31-01-09 17:00,60
31-01-09 16:00,58
31-01-09 15:00,59
31-01-09 14:00,53
31-01-09 13:00,54
31-01-09 12:00,88
31-01-09 11:00,68
31-01-09 10:00,78
31-01-09 09:00,67
31-01-09 08:00,39
31-01-09 07:00,28
31-01-09 06:00,26
31-01-09 05:00,47
31-01-09 04:00,55
31-01-09 03:00,50
31-01-09 02:00,29
31-01-09 01:00,32
31-01-09 00:00,55
30-01-09 23:00,71
30-01-09 22:00,79
30-01-09 21:00,86
30-01-09 20:00,96
30-01-09 19:00,105
30-01-09 18:00,100
30-01-09 17:00,92
30-01-09 16:00,111
30-01-09 15:00,110
30-01-09 14:00,89
30-01-09 13:00,91
30-01-09 12:00,110
30-01-09 11:00,125
30-01-09 10:00,105
30-01-09 09:00,125
30-01-09 08:00,99
30-01-09 07:00,69
30-01-09 06:00,45
30-01-09 05:00,35
30-01-09 04:00,9
30-01-09 03:00,8
30-01-09 02:00,13
30-01-09 01:00,25
30-01-09 00:00,20
29-01-09 23:00,20
29-01-09 22:00,35
29-01-09 21:00,38
29-01-09 20:00,65
29-01-09 19:00,62
29-01-09 18:00,78
29-01-09 17:00,103
29-01-09 16:00,108
29-01-09 15:00,110
29-01-09 14:00,111
29-01-09 13:00,80
29-01-09 12:00,151
29-01-09 11:00,103
29-01-09 10:00,108
29-01-09 09:00,106
29-01-09 08:00,97
29-01-09 07:00,63
29-01-09 06:00,30
29-01-09 05:00,28
29-01-09 04:00,12
29-01-09 03:00,16
29-01-09 02:00,8
29-01-09 01:00,22
29-01-09 00:00,26
28-01-09 23:00,28
28-01-09 22:00,47
28-01-09 21:00,71
28-01-09 20:00,83
28-01-09 19:00,101
28-01-09 18:00,99
28-01-09 17:00,111
28-01-09 16:00,100
28-01-09 15:00,85
28-01-09 14:00,90
28-01-09 13:00,112
28-01-09 12:00,125
28-01-09 11:00,104
28-01-09 10:00,143
28-01-09 09:00,94
28-01-09 08:00,118
28-01-09 07:00,86
28-01-09 06:00,41
28-01-09 05:00,26
28-01-09 04:00,10
28-01-09 03:00,10
28-01-09 02:00,12
28-01-09 01:00,26
28-01-09 00:00,31
27-01-09 23:00,41
27-01-09 22:00,38
27-01-09 21:00,58
27-01-09 20:00,87
27-01-09 19:00,83
27-01-09 18:00,98
27-01-09 17:00,128
27-01-09 16:00,127
27-01-09 15:00,96
27-01-09 14:00,113
27-01-09 13:00,119
27-01-09 12:00,113
27-01-09 11:00,118
27-01-09 10:00,116
27-01-09 09:00,92
27-01-09 08:00,123
27-01-09 07:00,66
27-01-09 06:00,43
27-01-09 05:00,34
27-01-09 04:00,13
27-01-09 03:00,11
27-01-09 02:00,14
27-01-09 01:00,14
27-01-09 00:00,22
26-01-09 23:00,28
26-01-09 22:00,43
26-01-09 21:00,39
26-01-09 20:00,52
26-01-09 19:00,83
26-01-09 18:00,96
26-01-09 17:00,84
26-01-09 16:00,110
26-01-09 15:00,107
26-01-09 14:00,106
26-01-09 13:00,114
26-01-09 12:00,116
26-01-09 11:00,113
26-01-09 10:00,129
26-01-09 09:00,126
26-01-09 08:00,128
26-01-09 07:00,116
26-01-09 06:00,82
26-01-09 05:00,85
26-01-09 04:00,42
26-01-09 03:00,28
26-01-09 02:00,31
26-01-09 01:00,27
26-01-09 00:00,16
25-01-09 23:00,50
25-01-09 22:00,66
25-01-09 21:00,65
25-01-09 20:00,71
25-01-09 19:00,108
25-01-09 18:00,96
25-01-09 17:00,46
25-01-09 16:00,30
25-01-09 15:00,23
25-01-09 14:00,29
25-01-09 13:00,29
25-01-09 12:00,21
25-01-09 11:00,17
25-01-09 10:00,34
25-01-09 09:00,18
25-01-09 08:00,13
25-01-09 07:00,17
25-01-09 06:00,29
25-01-09 05:00,30
25-01-09 04:00,20
25-01-09 03:00,8
25-01-09 02:00,7
25-01-09 01:00,8
25-01-09 00:00,25
24-01-09 23:00,60
24-01-09 22:00,38
24-01-09 21:00,32
24-01-09 20:00,35
24-01-09 19:00,69
24-01-09 18:00,54
24-01-09 17:00,97
24-01-09 16:00,62
24-01-09 15:00,50
24-01-09 14:00,21
24-01-09 13:00,35
24-01-09 12:00,41
24-01-09 11:00,37
24-01-09 10:00,27
24-01-09 09:00,6
24-01-09 08:00,5
24-01-09 07:00,3
24-01-09 06:00,2
24-01-09 05:00,6
24-01-09 04:00,5
24-01-09 03:00,3
24-01-09 02:00,7
24-01-09 01:00,3
24-01-09 00:00,15
23-01-09 23:00,17
23-01-09 22:00,16
23-01-09 21:00,22
23-01-09 20:00,7
23-01-09 19:00,2
23-01-09 18:00,6
23-01-09 17:00,35
23-01-09 16:00,44
23-01-09 15:00,85
23-01-09 14:00,56
23-01-09 13:00,39
23-01-09 12:00,46
23-01-09 11:00,44
23-01-09 10:00,95
