Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-01-09,
30-01-09,11.27
29-01-09,
28-01-09,17.58
27-01-09,
26-01-09,21.35
25-01-09,
24-01-09,3.92
23-01-09,
22-01-09,7.88
21-01-09,
20-01-09,9.16
19-01-09,
18-01-09,11.14
17-01-09,
16-01-09,10.42
15-01-09,
14-01-09,19.44
13-01-09,
12-01-09,45.42
11-01-09,
10-01-09,16.54
09-01-09,
08-01-09,12.06
07-01-09,
06-01-09,21.08
05-01-09,
04-01-09,8.38
03-01-09,
02-01-09,16.42
01-01-09,

