Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,1,18,,17,
2018-06-01,02:00,,1,22,,19,
2018-06-01,03:00,,1,19,,21,
2018-06-01,04:00,,1,16,,22,
2018-06-01,05:00,,4,17,,22,
2018-06-01,06:00,,11,26,,26,
2018-06-01,07:00,,12,24,,21,
2018-06-01,08:00,,7,17,,15,
2018-06-01,09:00,,7,14,,14,
2018-06-01,10:00,,7,14,,12,
2018-06-01,11:00,,6,13,,10,
2018-06-01,12:00,,5,14,,13,
2018-06-01,13:00,,4,11,,11,
2018-06-01,14:00,,4,14,,8,
2018-06-01,15:00,,5,14,,8,
2018-06-01,16:00,,3,10,,6,
2018-06-01,17:00,,5,15,,8,
2018-06-01,18:00,,3,14,,7,
2018-06-01,19:00,,2,12,,7,
2018-06-01,20:00,,2,12,,8,
2018-06-01,21:00,,1,13,,11,
2018-06-01,22:00,,1,15,,9,
2018-06-01,23:00,,1,11,,8,
2018-06-02,00:00,,1,11,,7,
2018-06-02,01:00,,1,11,,5,
2018-06-02,02:00,,1,11,,7,
2018-06-02,03:00,,1,12,,10,
2018-06-02,04:00,,1,11,,11,
2018-06-02,05:00,,1,11,,13,
2018-06-02,06:00,,2,11,,8,
2018-06-02,07:00,,2,7,,6,
2018-06-02,08:00,,3,8,,8,
2018-06-02,09:00,,4,10,,5,
2018-06-02,10:00,,4,11,,7,
2018-06-02,11:00,,3,8,,7,
2018-06-02,12:00,,3,8,,9,
2018-06-02,13:00,,6,11,,5,
2018-06-02,14:00,,3,7,,8,
2018-06-02,15:00,,2,5,,8,
2018-06-02,16:00,,2,6,,7,
2018-06-02,17:00,,2,7,,8,
2018-06-02,18:00,,2,8,,5,
2018-06-02,19:00,,2,6,,3,
2018-06-02,20:00,,2,9,,7,
2018-06-02,21:00,,2,13,,9,
2018-06-02,22:00,,1,16,,10,
2018-06-02,23:00,,1,17,,13,
2018-06-03,00:00,,1,16,,16,
2018-06-03,01:00,,1,14,,17,
2018-06-03,02:00,,1,11,,14,
2018-06-03,03:00,,1,11,,14,
2018-06-03,04:00,,1,12,,16,
2018-06-03,05:00,,1,12,,15,
2018-06-03,06:00,,2,11,,16,
2018-06-03,07:00,,2,11,,14,
2018-06-03,08:00,,2,8,,13,
2018-06-03,09:00,,1,6,,19,
2018-06-03,10:00,,1,6,,22,
