Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,3,21,,,
2018-06-01,02:00,,2,25,,,
2018-06-01,03:00,,3,24,,,
2018-06-01,04:00,,3,20,,,
2018-06-01,05:00,,15,26,,,
2018-06-01,06:00,,18,27,,,
2018-06-01,07:00,,23,27,,,
2018-06-01,08:00,,9,17,,,
2018-06-01,09:00,,8,15,,,
2018-06-01,10:00,,7,15,,,
2018-06-01,11:00,,12,23,,,
2018-06-01,12:00,,11,18,,,
2018-06-01,13:00,,12,21,,,
2018-06-01,14:00,,6,14,,,
2018-06-01,15:00,,7,15,,,
2018-06-01,16:00,,7,16,,,
2018-06-01,17:00,,5,14,,,
2018-06-01,18:00,,3,14,,,
2018-06-01,19:00,,7,29,,,
2018-06-01,20:00,,8,24,,,
2018-06-01,21:00,,8,19,,,
2018-06-01,22:00,,8,20,,,
2018-06-01,23:00,,5,16,,,
2018-06-02,00:00,,1,14,,,
2018-06-02,01:00,,2,16,,,
2018-06-02,02:00,,2,17,,,
2018-06-02,03:00,,1,11,,,
2018-06-02,04:00,,2,15,,,
2018-06-02,05:00,,2,13,,,
2018-06-02,06:00,,4,11,,,
2018-06-02,07:00,,5,13,,,
2018-06-02,08:00,,3,10,,,
2018-06-02,09:00,,4,10,,,
2018-06-02,10:00,,3,9,,,
2018-06-02,11:00,,3,9,,,
2018-06-02,12:00,,3,9,,,
2018-06-02,13:00,,3,9,,,
2018-06-02,14:00,,2,7,,,
2018-06-02,15:00,,2,7,,,
2018-06-02,16:00,,2,7,,,
2018-06-02,17:00,,2,7,,,
2018-06-02,18:00,,1,8,,,
2018-06-02,19:00,,1,7,,,
2018-06-02,20:00,,1,7,,,
2018-06-02,21:00,,1,8,,,
2018-06-02,22:00,,1,9,,,
2018-06-02,23:00,,1,9,,,
2018-06-03,00:00,,1,8,,,
2018-06-03,01:00,,1,7,,,
2018-06-03,02:00,,1,7,,,
2018-06-03,03:00,,1,9,,,
2018-06-03,04:00,,1,9,,,
2018-06-03,05:00,,1,8,,,
2018-06-03,06:00,,1,10,,,
2018-06-03,07:00,,1,9,,,
2018-06-03,08:00,,1,8,,,
2018-06-03,09:00,,1,8,,,
2018-06-03,10:00,,1,8,,,
2018-06-03,11:00,,1,6,,,
2018-06-03,12:00,,2,10,,,
2018-06-03,13:00,,1,8,,,
2018-06-03,14:00,,1,6,,,
2018-06-03,15:00,,1,5,,,
2018-06-03,16:00,,1,5,,,
2018-06-03,17:00,,1,5,,,
2018-06-03,18:00,,1,5,,,
2018-06-03,19:00,,1,5,,,
2018-06-03,20:00,,1,8,,,
2018-06-03,21:00,,1,10,,,
2018-06-03,22:00,,1,18,,,
2018-06-03,23:00,,1,17,,,
2018-06-04,00:00,,1,15,,,
2018-06-04,01:00,,1,17,,,
2018-06-04,02:00,,2,20,,,
2018-06-04,03:00,,6,23,,,
2018-06-04,04:00,,8,23,,,
2018-06-04,05:00,,25,25,,,
2018-06-04,06:00,,45,27,,,
2018-06-04,07:00,,66,39,,,
2018-06-04,08:00,,32,33,,,
2018-06-04,09:00,,19,28,,,
2018-06-04,10:00,,5,12,,,
2018-06-04,11:00,,8,19,,,
2018-06-04,12:00,,3,9,,,
2018-06-04,13:00,,6,12,,,
2018-06-04,14:00,,5,13,,,
2018-06-04,15:00,,5,16,,,
2018-06-04,16:00,,6,20,,,
2018-06-04,17:00,,1,9,,,
2018-06-04,18:00,,1,8,,,
2018-06-04,19:00,,1,6,,,
2018-06-04,20:00,,1,7,,,
2018-06-04,21:00,,1,8,,,
2018-06-04,22:00,,1,8,,,
2018-06-04,23:00,,1,10,,,
2018-06-05,00:00,,1,9,,,
2018-06-05,01:00,,1,9,,,
2018-06-05,02:00,,1,10,,,
2018-06-05,03:00,,1,8,,,
2018-06-05,04:00,,1,5,,,
2018-06-05,05:00,,1,5,,,
2018-06-05,06:00,,5,11,,,
2018-06-05,07:00,,4,16,,,
2018-06-05,08:00,,8,17,,,
2018-06-05,09:00,,7,17,,,
2018-06-05,10:00,,4,13,,,
2018-06-05,11:00,,4,14,,,
2018-06-05,12:00,,7,15,,,
2018-06-05,13:00,,4,13,,,
2018-06-05,14:00,,4,15,,,
2018-06-05,15:00,,6,16,,,
2018-06-05,16:00,,7,14,,,
2018-06-05,17:00,,7,14,,,
2018-06-05,18:00,,8,20,,,
2018-06-05,19:00,,4,14,,,
2018-06-05,20:00,,3,14,,,
2018-06-05,21:00,,3,19,,,
2018-06-05,22:00,,1,14,,,
2018-06-05,23:00,,1,12,,,
2018-06-06,00:00,,1,15,,,
2018-06-06,01:00,,2,15,,,
2018-06-06,02:00,,3,15,,,
2018-06-06,03:00,,2,16,,,
2018-06-06,04:00,,1,13,,,
2018-06-06,05:00,,1,15,,,
2018-06-06,06:00,,14,27,,,
2018-06-06,07:00,,22,29,,,
2018-06-06,08:00,,14,20,,,
2018-06-06,09:00,,10,15,,,
2018-06-06,10:00,,7,13,,,
