Datum Zeit,Zittau-Ost PM10
,µg/m³
30-11-07,23
29-11-07,31
28-11-07,27
27-11-07,9
26-11-07,8
25-11-07,16
24-11-07,27
23-11-07,38
22-11-07,33
21-11-07,29
20-11-07,21
19-11-07,35
18-11-07,47
17-11-07,34
16-11-07,18
15-11-07,18
14-11-07,11
13-11-07,7
12-11-07,5
11-11-07,5
10-11-07,4
09-11-07,7
08-11-07,12
07-11-07,8
06-11-07,13
05-11-07,14
04-11-07,8
03-11-07,9
02-11-07,14
01-11-07,31

