Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-13,6.38
30-01-13,
29-01-13,
28-01-13,14.16
27-01-13,
26-01-13,63.07
25-01-13,70.29
24-01-13,62.80
23-01-13,46.20
22-01-13,48.09
21-01-13,47.59
20-01-13,49.30
19-01-13,31.13
18-01-13,18.42
17-01-13,34.86
16-01-13,59.19
15-01-13,37.73
14-01-13,32.98
13-01-13,19.12
12-01-13,13.45
11-01-13,8.09
10-01-13,8.48
09-01-13,15.54
08-01-13,22.37
07-01-13,8.29
06-01-13,6.79
05-01-13,5.30
04-01-13,10.78
03-01-13,7.85
02-01-13,9.06
01-01-13,23.01

