Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-13,4.64
30-01-13,2.02
29-01-13,4.10
28-01-13,9.38
27-01-13,26.54
26-01-13,57.19
25-01-13,57.99
24-01-13,54.78
23-01-13,42.69
22-01-13,45.23
21-01-13,43.28
20-01-13,41.99
19-01-13,25.54
18-01-13,13.91
17-01-13,29.25
16-01-13,55.51
15-01-13,35.09
14-01-13,28.33
13-01-13,16.53
12-01-13,9.97
11-01-13,3.60
10-01-13,5.60
09-01-13,10.75
08-01-13,18.10
07-01-13,5.26
06-01-13,4.96
05-01-13,3.05
04-01-13,7.63
03-01-13,5.53
02-01-13,6.11
01-01-13,13.77

