Datum Zeit,Niesky PM10
,µg/m³
31-01-13,10
30-01-13,5
29-01-13,11
28-01-13,27
27-01-13,47
26-01-13,50
25-01-13,60
24-01-13,73
23-01-13,67
22-01-13,51
21-01-13,73
20-01-13,66
19-01-13,37
18-01-13,18
17-01-13,51
16-01-13,95
15-01-13,50
14-01-13,61
13-01-13,24
12-01-13,9
11-01-13,5
10-01-13,7
09-01-13,9
08-01-13,20
07-01-13,17
06-01-13,6
05-01-13,7
04-01-13,10
03-01-13,8
02-01-13,11
01-01-13,25

