Datum Zeit,Collmberg PM2.5
,µg/m³
31-01-13,
30-01-13,
29-01-13,3.25
28-01-13,9.46
27-01-13,25.16
26-01-13,42.52
25-01-13,54.26
24-01-13,
23-01-13,39.49
22-01-13,41.90
21-01-13,45.73
20-01-13,47.55
19-01-13,25.02
18-01-13,13.66
17-01-13,28.01
16-01-13,48.85
15-01-13,34.35
14-01-13,35.22
13-01-13,16.18
12-01-13,8.07
11-01-13,3.45
10-01-13,3.41
09-01-13,3.19
08-01-13,6.33
07-01-13,1.14
06-01-13,0.92
05-01-13,0.71
04-01-13,5.24
03-01-13,4.41
02-01-13,4.41
01-01-13,6.12

