Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-13,4.61
30-01-13,3.04
29-01-13,5.46
28-01-13,29.80
27-01-13,47.75
26-01-13,50.03
25-01-13,64.39
24-01-13,52.78
23-01-13,58.32
22-01-13,55.26
21-01-13,72.46
20-01-13,64.32
19-01-13,36.63
18-01-13,17.18
17-01-13,41.34
16-01-13,66.04
15-01-13,37.19
14-01-13,36.49
13-01-13,19.26
12-01-13,11.41
11-01-13,4.83
10-01-13,5.89
09-01-13,6.66
08-01-13,15.63
07-01-13,5.28
06-01-13,3.30
05-01-13,2.25
04-01-13,7.00
03-01-13,4.85
02-01-13,5.34
01-01-13,30.45

