Datum Zeit,Zwickau-Werdauer Straße NO2
,µg/m³
01-02-13 00:00,9
31-01-13 23:00,9
31-01-13 22:00,10
31-01-13 21:00,11
31-01-13 20:00,13
31-01-13 19:00,15
31-01-13 18:00,18
31-01-13 17:00,21
31-01-13 16:00,19
31-01-13 15:00,22
31-01-13 14:00,16
31-01-13 13:00,21
31-01-13 12:00,21
31-01-13 11:00,19
31-01-13 10:00,18
31-01-13 09:00,28
31-01-13 08:00,27
31-01-13 07:00,17
31-01-13 06:00,10
31-01-13 05:00,5
31-01-13 04:00,5
31-01-13 03:00,4
31-01-13 02:00,6
31-01-13 01:00,8
31-01-13 00:00,10
30-01-13 23:00,10
30-01-13 22:00,12
30-01-13 21:00,13
30-01-13 20:00,23
30-01-13 19:00,13
30-01-13 18:00,18
30-01-13 17:00,18
30-01-13 16:00,17
30-01-13 15:00,19
30-01-13 14:00,19
30-01-13 13:00,18
30-01-13 12:00,
30-01-13 11:00,
30-01-13 10:00,
30-01-13 09:00,16
30-01-13 08:00,16
30-01-13 07:00,15
30-01-13 06:00,9
30-01-13 05:00,6
30-01-13 04:00,5
30-01-13 03:00,5
30-01-13 02:00,5
30-01-13 01:00,7
30-01-13 00:00,9
29-01-13 23:00,13
29-01-13 22:00,17
29-01-13 21:00,21
29-01-13 20:00,22
29-01-13 19:00,25
29-01-13 18:00,28
29-01-13 17:00,33
29-01-13 16:00,33
29-01-13 15:00,29
29-01-13 14:00,34
29-01-13 13:00,27
29-01-13 12:00,29
29-01-13 11:00,31
29-01-13 10:00,29
29-01-13 09:00,20
29-01-13 08:00,22
29-01-13 07:00,17
29-01-13 06:00,12
29-01-13 05:00,8
29-01-13 04:00,4
29-01-13 03:00,6
29-01-13 02:00,6
29-01-13 01:00,8
29-01-13 00:00,16
28-01-13 23:00,19
28-01-13 22:00,19
28-01-13 21:00,19
28-01-13 20:00,22
28-01-13 19:00,29
28-01-13 18:00,33
28-01-13 17:00,40
28-01-13 16:00,32
28-01-13 15:00,35
28-01-13 14:00,33
28-01-13 13:00,27
28-01-13 12:00,33
28-01-13 11:00,39
28-01-13 10:00,56
28-01-13 09:00,79
28-01-13 08:00,55
28-01-13 07:00,46
28-01-13 06:00,37
28-01-13 05:00,29
28-01-13 04:00,21
28-01-13 03:00,25
28-01-13 02:00,19
28-01-13 01:00,22
28-01-13 00:00,21
27-01-13 23:00,22
27-01-13 22:00,23
27-01-13 21:00,22
27-01-13 20:00,20
27-01-13 19:00,21
27-01-13 18:00,19
27-01-13 17:00,22
27-01-13 16:00,18
27-01-13 15:00,18
27-01-13 14:00,17
27-01-13 13:00,17
27-01-13 12:00,19
27-01-13 11:00,18
27-01-13 10:00,20
27-01-13 09:00,25
27-01-13 08:00,27
27-01-13 07:00,29
27-01-13 06:00,25
27-01-13 05:00,25
27-01-13 04:00,29
27-01-13 03:00,29
27-01-13 02:00,28
27-01-13 01:00,26
27-01-13 00:00,26
26-01-13 23:00,25
26-01-13 22:00,22
26-01-13 21:00,20
26-01-13 20:00,31
26-01-13 19:00,42
26-01-13 18:00,44
26-01-13 17:00,33
26-01-13 16:00,22
26-01-13 15:00,20
26-01-13 14:00,19
26-01-13 13:00,34
26-01-13 12:00,51
26-01-13 11:00,46
26-01-13 10:00,46
26-01-13 09:00,45
26-01-13 08:00,50
26-01-13 07:00,51
26-01-13 06:00,49
26-01-13 05:00,49
26-01-13 04:00,52
26-01-13 03:00,55
26-01-13 02:00,56
26-01-13 01:00,58
26-01-13 00:00,61
25-01-13 23:00,68
25-01-13 22:00,72
25-01-13 21:00,72
25-01-13 20:00,74
25-01-13 19:00,72
25-01-13 18:00,66
25-01-13 17:00,62
25-01-13 16:00,51
25-01-13 15:00,51
25-01-13 14:00,48
25-01-13 13:00,39
25-01-13 12:00,43
25-01-13 11:00,35
25-01-13 10:00,38
25-01-13 09:00,34
25-01-13 08:00,40
25-01-13 07:00,34
25-01-13 06:00,31
25-01-13 05:00,23
25-01-13 04:00,21
25-01-13 03:00,22
25-01-13 02:00,32
25-01-13 01:00,41
25-01-13 00:00,47
24-01-13 23:00,54
24-01-13 22:00,55
24-01-13 21:00,61
24-01-13 20:00,51
24-01-13 19:00,52
24-01-13 18:00,60
24-01-13 17:00,58
24-01-13 16:00,59
24-01-13 15:00,46
24-01-13 14:00,46
24-01-13 13:00,44
24-01-13 12:00,57
24-01-13 11:00,59
24-01-13 10:00,62
24-01-13 09:00,61
24-01-13 08:00,62
24-01-13 07:00,50
24-01-13 06:00,40
24-01-13 05:00,32
24-01-13 04:00,33
24-01-13 03:00,30
24-01-13 02:00,34
24-01-13 01:00,35
24-01-13 00:00,45
23-01-13 23:00,47
23-01-13 22:00,43
23-01-13 21:00,43
23-01-13 20:00,44
23-01-13 19:00,52
23-01-13 18:00,60
23-01-13 17:00,62
23-01-13 16:00,64
23-01-13 15:00,57
23-01-13 14:00,54
23-01-13 13:00,46
23-01-13 12:00,50
23-01-13 11:00,53
23-01-13 10:00,52
23-01-13 09:00,61
23-01-13 08:00,55
23-01-13 07:00,50
23-01-13 06:00,52
23-01-13 05:00,46
23-01-13 04:00,49
23-01-13 03:00,48
23-01-13 02:00,47
23-01-13 01:00,52
23-01-13 00:00,51
22-01-13 23:00,50
22-01-13 22:00,47
22-01-13 21:00,47
22-01-13 20:00,51
22-01-13 19:00,60
22-01-13 18:00,60
22-01-13 17:00,58
22-01-13 16:00,56
22-01-13 15:00,52
22-01-13 14:00,42
22-01-13 13:00,41
22-01-13 12:00,37
