Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-01-13,5.91
30-01-13,3.21
29-01-13,4.58
28-01-13,14.25
27-01-13,24.17
26-01-13,57.48
25-01-13,60.71
24-01-13,60.10
23-01-13,69.99
22-01-13,72.09
21-01-13,78.07
20-01-13,51.51
19-01-13,37.39
18-01-13,19.45
17-01-13,39.63
16-01-13,51.98
15-01-13,28.06
14-01-13,31.08
13-01-13,21.61
12-01-13,15.53
11-01-13,6.37
10-01-13,7.43
09-01-13,9.55
08-01-13,19.70
07-01-13,9.52
06-01-13,4.25
05-01-13,3.11
04-01-13,7.84
03-01-13,6.74
02-01-13,6.24
01-01-13,30.73

