Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-13,5.47
30-01-13,3.13
29-01-13,6.34
28-01-13,28.24
27-01-13,45.08
26-01-13,54.22
25-01-13,61.28
24-01-13,57.17
23-01-13,57.30
22-01-13,52.41
21-01-13,68.03
20-01-13,60.43
19-01-13,33.70
18-01-13,16.40
17-01-13,41.49
16-01-13,64.70
15-01-13,37.61
14-01-13,37.42
13-01-13,19.21
12-01-13,10.94
11-01-13,5.37
10-01-13,6.36
09-01-13,8.26
08-01-13,17.08
07-01-13,5.89
06-01-13,4.46
05-01-13,3.39
04-01-13,6.97
03-01-13,5.59
02-01-13,6.37
01-01-13,34.70

