Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-01-13,4.47
30-01-13,2.04
29-01-13,3.27
28-01-13,9.19
27-01-13,19.49
26-01-13,36.95
25-01-13,52.01
24-01-13,59.12
23-01-13,87.25
22-01-13,85.35
21-01-13,76.08
20-01-13,33.60
19-01-13,25.30
18-01-13,19.40
17-01-13,28.25
16-01-13,36.95
15-01-13,26.33
14-01-13,25.74
13-01-13,14.79
12-01-13,8.84
11-01-13,4.80
10-01-13,5.02
09-01-13,5.36
08-01-13,10.68
07-01-13,6.38
06-01-13,1.57
05-01-13,1.50
04-01-13,4.42
03-01-13,3.44
02-01-13,5.11
01-01-13,16.72

