Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-04,15.24
29-06-04,13.49
28-06-04,15.54
27-06-04,15.26
26-06-04,13.15
25-06-04,13.03
24-06-04,14.85
23-06-04,12.64
22-06-04,15.44
21-06-04,12.72
20-06-04,11.35
19-06-04,11.78
18-06-04,13.07
17-06-04,14.85
16-06-04,11.26
15-06-04,14.89
14-06-04,14.61
13-06-04,7.21
12-06-04,10.71
11-06-04,21.35
10-06-04,24.90
09-06-04,20.35
08-06-04,24.54
07-06-04,14.22
06-06-04,12.89
05-06-04,12.85
04-06-04,18.51
03-06-04,18.39
02-06-04,22.78
01-06-04,19.21

