Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-05,21:00,0.2,1,3,,,,0.5
2016-10-05,22:00,0.2,1,4,,,,0.5
2016-10-05,23:00,0.4,1,4,,,,0.5
2016-10-06,,,,,,2,,
2016-10-06,00:00,0.1,1,3,,,,0.5
2016-10-06,01:00,0.2,1,3,,,,0.5
2016-10-06,02:00,0.1,1,3,,,,0.5
2016-10-06,03:00,0.1,1,3,,,,0.5
2016-10-06,04:00,0.1,1,3,,,,0.5
2016-10-06,05:00,0.1,1,6,,,,0.5
2016-10-06,06:00,0.1,2,9,,,,0.5
2016-10-06,07:00,0.3,2,12,,,,0.5
2016-10-06,08:00,,4,16,,,,0.5
2016-10-06,09:00,,5,15,,,,0.5
2016-10-06,10:00,,6,15,,,,0.5
2016-10-06,11:00,,6,15,,,,0.5
2016-10-06,12:00,,7,16,,,,0.5
2016-10-06,13:00,0.5,5,14,,,,0.5
2016-10-06,14:00,0.9,6,12,,,,0.5
2016-10-06,15:00,0.9,7,13,,,,0.5
2016-10-06,16:00,1.0,9,17,,,,0.5
2016-10-06,17:00,1.9,8,15,,,,0.5
2016-10-06,18:00,0.7,4,13,,,,0.5
2016-10-06,19:00,1.0,2,10,,,,0.5
2016-10-06,20:00,1.1,1,8,,,,0.5
2016-10-06,21:00,0.6,1,9,,,,0.5
2016-10-06,22:00,0.6,2,6,,,,0.5
2016-10-06,23:00,0.4,1,9,,,,0.5
2016-10-07,,,,,,6,,
2016-10-07,00:00,0.4,1,5,,,,0.5
2016-10-07,01:00,0.3,2,10,,,,0.5
2016-10-07,02:00,0.4,1,7,,,,0.5
2016-10-07,03:00,0.4,1,6,,,,0.5
2016-10-07,04:00,0.4,1,6,,,,0.5
2016-10-07,05:00,0.5,1,7,,,,0.5
2016-10-07,06:00,0.5,6,9,,,,0.5
2016-10-07,07:00,0.7,5,8,,,,0.5
2016-10-07,08:00,0.6,16,10,,,,0.5
2016-10-07,09:00,1.2,22,14,,,,0.5
2016-10-07,10:00,1.6,15,13,,,,0.5
2016-10-07,11:00,1.1,11,10,,,,1.4
2016-10-07,12:00,1.0,9,10,,,,1.2
