Datum Zeit,Freiberg SO2
,µg/m³
01-03-00 00:00,1.2
29-02-00 23:00,1.5
29-02-00 22:00,1.8
29-02-00 21:00,1.0
29-02-00 20:00,1.0
29-02-00 19:00,1.6
29-02-00 18:00,2.6
29-02-00 17:00,3.5
29-02-00 16:00,3.7
29-02-00 15:00,1.1
29-02-00 14:00,1.1
29-02-00 13:00,1.0
29-02-00 12:00,1.7
29-02-00 11:00,1.8
29-02-00 10:00,2.4
29-02-00 09:00,1.5
29-02-00 08:00,
29-02-00 07:00,1.1
29-02-00 06:00,1.0
29-02-00 05:00,1.0
29-02-00 04:00,1.0
29-02-00 03:00,1.0
29-02-00 02:00,2.2
29-02-00 01:00,2.3
29-02-00 00:00,4.8
28-02-00 23:00,4.8
28-02-00 22:00,8.6
28-02-00 21:00,8.6
28-02-00 20:00,10.5
28-02-00 19:00,16.9
28-02-00 18:00,21.8
28-02-00 17:00,23.6
28-02-00 16:00,15.1
28-02-00 15:00,22.1
28-02-00 14:00,20.6
28-02-00 13:00,20.1
28-02-00 12:00,17.0
28-02-00 11:00,15.4
28-02-00 10:00,23.5
28-02-00 09:00,22.4
28-02-00 08:00,
28-02-00 07:00,17.7
28-02-00 06:00,16.9
28-02-00 05:00,11.9
28-02-00 04:00,18.9
28-02-00 03:00,41.2
28-02-00 02:00,29.2
28-02-00 01:00,28.6
28-02-00 00:00,21.0
27-02-00 23:00,10.7
27-02-00 22:00,10.3
27-02-00 21:00,8.4
27-02-00 20:00,6.7
27-02-00 19:00,5.8
27-02-00 18:00,6.9
27-02-00 17:00,6.9
27-02-00 16:00,11.4
27-02-00 15:00,8.7
27-02-00 14:00,10.6
27-02-00 13:00,9.2
27-02-00 12:00,18.7
27-02-00 11:00,20.6
27-02-00 10:00,12.5
27-02-00 09:00,
27-02-00 08:00,6.1
27-02-00 07:00,3.0
27-02-00 06:00,1.7
27-02-00 05:00,1.2
27-02-00 04:00,1.6
27-02-00 03:00,2.3
27-02-00 02:00,2.2
27-02-00 01:00,1.7
27-02-00 00:00,1.2
26-02-00 23:00,2.0
26-02-00 22:00,4.5
26-02-00 21:00,8.5
26-02-00 20:00,9.8
26-02-00 19:00,7.5
26-02-00 18:00,6.2
26-02-00 17:00,6.1
26-02-00 16:00,6.5
26-02-00 15:00,5.4
26-02-00 14:00,6.1
26-02-00 13:00,7.4
26-02-00 12:00,7.1
26-02-00 11:00,5.6
26-02-00 10:00,4.3
26-02-00 09:00,
26-02-00 08:00,2.7
26-02-00 07:00,1.4
26-02-00 06:00,3.0
26-02-00 05:00,1.0
26-02-00 04:00,1.0
26-02-00 03:00,1.0
26-02-00 02:00,1.0
