Datum Zeit,Annaberg-Buchholz CO
,mg/m3
01-03-00 00:00,0.1
29-02-00 23:00,0.2
29-02-00 22:00,0.2
29-02-00 21:00,0.2
29-02-00 20:00,0.3
29-02-00 19:00,0.3
29-02-00 18:00,0.6
29-02-00 17:00,0.6
29-02-00 16:00,0.5
29-02-00 15:00,0.3
29-02-00 14:00,0.2
29-02-00 13:00,0.3
29-02-00 12:00,0.3
29-02-00 11:00,0.3
29-02-00 10:00,0.6
29-02-00 09:00,1.2
29-02-00 08:00,1.6
29-02-00 07:00,1.5
29-02-00 06:00,0.7
29-02-00 05:00,0.1
29-02-00 04:00,0.1
29-02-00 03:00,0.2
29-02-00 02:00,0.1
29-02-00 01:00,0.1
29-02-00 00:00,0.2
28-02-00 23:00,0.2
28-02-00 22:00,0.3
28-02-00 21:00,0.5
28-02-00 20:00,0.4
28-02-00 19:00,0.6
28-02-00 18:00,0.5
28-02-00 17:00,0.7
28-02-00 16:00,0.9
28-02-00 15:00,0.4
28-02-00 14:00,0.2
28-02-00 13:00,0.3
28-02-00 12:00,0.4
28-02-00 11:00,0.3
28-02-00 10:00,0.4
28-02-00 09:00,0.3
28-02-00 08:00,0.6
28-02-00 07:00,0.8
28-02-00 06:00,0.3
28-02-00 05:00,0.1
28-02-00 04:00,0.1
28-02-00 03:00,
28-02-00 02:00,0.1
28-02-00 01:00,0.1
28-02-00 00:00,0.2
27-02-00 23:00,0.3
27-02-00 22:00,0.3
27-02-00 21:00,0.5
27-02-00 20:00,0.3
27-02-00 19:00,0.5
27-02-00 18:00,0.6
27-02-00 17:00,0.5
27-02-00 16:00,0.2
27-02-00 15:00,0.2
27-02-00 14:00,0.2
27-02-00 13:00,0.2
27-02-00 12:00,0.2
27-02-00 11:00,0.3
27-02-00 10:00,0.3
27-02-00 09:00,0.2
27-02-00 08:00,0.1
27-02-00 07:00,0.1
27-02-00 06:00,0.1
27-02-00 05:00,0.1
27-02-00 04:00,0.1
27-02-00 03:00,0.2
27-02-00 02:00,0.2
27-02-00 01:00,0.3
27-02-00 00:00,0.3
26-02-00 23:00,0.5
26-02-00 22:00,0.9
26-02-00 21:00,0.6
26-02-00 20:00,0.8
26-02-00 19:00,1.0
26-02-00 18:00,1.0
26-02-00 17:00,0.3
26-02-00 16:00,0.2
26-02-00 15:00,0.2
26-02-00 14:00,0.3
26-02-00 13:00,0.1
26-02-00 12:00,0.1
26-02-00 11:00,0.2
26-02-00 10:00,0.1
26-02-00 09:00,0.1
26-02-00 08:00,0.1
26-02-00 07:00,0.1
26-02-00 06:00,0.1
26-02-00 05:00,0.1
26-02-00 04:00,0.6
26-02-00 03:00,
26-02-00 02:00,0.3
26-02-00 01:00,0.1
26-02-00 00:00,0.1
25-02-00 23:00,0.2
25-02-00 22:00,0.1
25-02-00 21:00,0.1
25-02-00 20:00,0.1
25-02-00 19:00,0.1
25-02-00 18:00,0.1
25-02-00 17:00,0.1
25-02-00 16:00,0.2
25-02-00 15:00,0.3
25-02-00 14:00,0.1
25-02-00 13:00,0.3
25-02-00 12:00,0.3
25-02-00 11:00,0.2
25-02-00 10:00,0.2
25-02-00 09:00,0.2
25-02-00 08:00,0.2
