Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-03-00,
30-03-00,
29-03-00,
28-03-00,
27-03-00,
26-03-00,
25-03-00,
24-03-00,
23-03-00,
22-03-00,
21-03-00,
20-03-00,
19-03-00,7.82
18-03-00,
17-03-00,
16-03-00,5.49
15-03-00,3.01
14-03-00,10.82
13-03-00,4.57
12-03-00,6.39
11-03-00,2.68
10-03-00,4.53
09-03-00,3.57
08-03-00,5.11
07-03-00,7.65
06-03-00,7.14
05-03-00,3.22
04-03-00,4.07
03-03-00,5.24
02-03-00,3.64
01-03-00,3.86

