Datum Zeit,Freiberg SO2
,µg/m³
01-04-00 00:00,1.5
31-03-00 23:00,1.4
31-03-00 22:00,2.4
31-03-00 21:00,1.0
31-03-00 20:00,2.0
31-03-00 19:00,1.9
31-03-00 18:00,2.5
31-03-00 17:00,3.6
31-03-00 16:00,1.7
31-03-00 15:00,2.3
31-03-00 14:00,1.7
31-03-00 13:00,2.4
31-03-00 12:00,2.3
31-03-00 11:00,2.0
31-03-00 10:00,
31-03-00 09:00,4.9
31-03-00 08:00,6.4
31-03-00 07:00,4.6
31-03-00 06:00,4.3
31-03-00 05:00,3.8
31-03-00 04:00,1.7
31-03-00 03:00,1.9
31-03-00 02:00,1.0
31-03-00 01:00,1.0
31-03-00 00:00,2.8
30-03-00 23:00,3.6
30-03-00 22:00,4.3
30-03-00 21:00,3.6
30-03-00 20:00,2.5
30-03-00 19:00,4.4
30-03-00 18:00,4.8
30-03-00 17:00,5.0
30-03-00 16:00,6.1
30-03-00 15:00,6.2
30-03-00 14:00,5.3
30-03-00 13:00,6.6
30-03-00 12:00,6.6
30-03-00 11:00,
30-03-00 10:00,4.7
30-03-00 09:00,3.9
30-03-00 08:00,4.9
30-03-00 07:00,3.8
30-03-00 06:00,4.1
30-03-00 05:00,4.4
30-03-00 04:00,4.3
30-03-00 03:00,6.3
30-03-00 02:00,6.2
30-03-00 01:00,7.6
30-03-00 00:00,8.5
29-03-00 23:00,7.8
29-03-00 22:00,7.8
29-03-00 21:00,5.6
29-03-00 20:00,7.6
29-03-00 19:00,8.1
29-03-00 18:00,8.5
29-03-00 17:00,10.7
29-03-00 16:00,10.1
29-03-00 15:00,7.6
29-03-00 14:00,7.1
29-03-00 13:00,3.2
29-03-00 12:00,3.2
29-03-00 11:00,
29-03-00 10:00,8.3
29-03-00 09:00,6.5
29-03-00 08:00,5.9
29-03-00 07:00,5.4
29-03-00 06:00,5.7
29-03-00 05:00,6.9
29-03-00 04:00,6.4
29-03-00 03:00,4.4
29-03-00 02:00,2.0
29-03-00 01:00,3.3
29-03-00 00:00,3.9
28-03-00 23:00,5.5
28-03-00 22:00,8.1
28-03-00 21:00,5.1
28-03-00 20:00,8.6
28-03-00 19:00,1.0
28-03-00 18:00,1.6
28-03-00 17:00,1.2
28-03-00 16:00,1.3
28-03-00 15:00,1.3
28-03-00 14:00,1.4
28-03-00 13:00,1.0
28-03-00 12:00,
28-03-00 11:00,1.0
28-03-00 10:00,1.8
28-03-00 09:00,1.0
28-03-00 08:00,1.0
28-03-00 07:00,1.0
28-03-00 06:00,1.0
28-03-00 05:00,1.0
28-03-00 04:00,1.0
28-03-00 03:00,1.0
28-03-00 02:00,1.0
28-03-00 01:00,1.0
28-03-00 00:00,1.4
27-03-00 23:00,1.3
27-03-00 22:00,1.2
27-03-00 21:00,1.0
27-03-00 20:00,1.6
27-03-00 19:00,1.4
27-03-00 18:00,1.7
27-03-00 17:00,1.1
27-03-00 16:00,1.6
27-03-00 15:00,2.4
27-03-00 14:00,2.2
27-03-00 13:00,3.2
27-03-00 12:00,
27-03-00 11:00,1.9
27-03-00 10:00,2.4
27-03-00 09:00,2.1
27-03-00 08:00,2.4
27-03-00 07:00,2.0
27-03-00 06:00,2.4
27-03-00 05:00,1.8
27-03-00 04:00,1.1
27-03-00 03:00,1.6
27-03-00 02:00,1.7
27-03-00 01:00,1.1
27-03-00 00:00,2.1
26-03-00 23:00,2.7
26-03-00 22:00,2.9
