Datum Zeit,Freiberg PM10
,µg/m³
31-03-00,28
30-03-00,27
29-03-00,39
28-03-00,20
27-03-00,18
26-03-00,26
25-03-00,32
24-03-00,66
23-03-00,64
22-03-00,45
21-03-00,38
20-03-00,29
19-03-00,18
18-03-00,20
17-03-00,7
16-03-00,8
15-03-00,16
14-03-00,16
13-03-00,19
12-03-00,13
11-03-00,6
10-03-00,16
09-03-00,4
08-03-00,12
07-03-00,26
06-03-00,19
05-03-00,16
04-03-00,10
03-03-00,11
02-03-00,14
01-03-00,13

