Datum Zeit,Glauchau BEN
,µg/m³
01-04-00 00:00,2.1
31-03-00 23:00,4.1
31-03-00 22:00,2.9
31-03-00 21:00,2.5
31-03-00 20:00,2.4
31-03-00 19:00,2.3
31-03-00 18:00,3.3
31-03-00 17:00,5.0
31-03-00 16:00,3.1
31-03-00 15:00,3.9
31-03-00 14:00,3.4
31-03-00 13:00,2.7
31-03-00 12:00,2.9
31-03-00 11:00,2.8
31-03-00 10:00,2.2
31-03-00 09:00,1.8
31-03-00 08:00,2.7
31-03-00 07:00,4.2
31-03-00 06:00,2.4
31-03-00 05:00,1.5
31-03-00 04:00,1.2
31-03-00 03:00,1.2
31-03-00 02:00,1.3
31-03-00 01:00,1.3
31-03-00 00:00,1.4
30-03-00 23:00,1.6
30-03-00 22:00,2.4
30-03-00 21:00,1.9
30-03-00 20:00,2.4
30-03-00 19:00,
30-03-00 18:00,
30-03-00 17:00,
30-03-00 16:00,
30-03-00 15:00,
30-03-00 14:00,
30-03-00 13:00,
30-03-00 12:00,
30-03-00 11:00,
30-03-00 10:00,
30-03-00 09:00,
30-03-00 08:00,
30-03-00 07:00,
30-03-00 06:00,
30-03-00 05:00,
30-03-00 04:00,
30-03-00 03:00,
30-03-00 02:00,
30-03-00 01:00,
30-03-00 00:00,
29-03-00 23:00,
29-03-00 22:00,
29-03-00 21:00,
29-03-00 20:00,
29-03-00 19:00,
29-03-00 18:00,
29-03-00 17:00,1.9
29-03-00 16:00,1.8
29-03-00 15:00,2.1
29-03-00 14:00,1.7
29-03-00 13:00,2.1
29-03-00 12:00,2.0
29-03-00 11:00,1.7
29-03-00 10:00,1.6
29-03-00 09:00,2.0
29-03-00 08:00,2.6
29-03-00 07:00,2.3
29-03-00 06:00,2.0
29-03-00 05:00,1.2
29-03-00 04:00,1.1
29-03-00 03:00,1.2
29-03-00 02:00,1.1
29-03-00 01:00,1.3
29-03-00 00:00,1.3
28-03-00 23:00,1.3
28-03-00 22:00,1.4
28-03-00 21:00,1.5
28-03-00 20:00,2.2
28-03-00 19:00,2.5
28-03-00 18:00,3.3
28-03-00 17:00,3.1
28-03-00 16:00,3.6
28-03-00 15:00,2.1
28-03-00 14:00,1.8
28-03-00 13:00,2.1
28-03-00 12:00,1.8
28-03-00 11:00,2.1
28-03-00 10:00,1.8
28-03-00 09:00,2.1
28-03-00 08:00,1.5
28-03-00 07:00,2.0
28-03-00 06:00,2.2
28-03-00 05:00,1.4
28-03-00 04:00,0.7
28-03-00 03:00,0.6
28-03-00 02:00,0.6
28-03-00 01:00,0.6
28-03-00 00:00,0.7
27-03-00 23:00,0.8
27-03-00 22:00,0.8
27-03-00 21:00,1.1
27-03-00 20:00,1.1
27-03-00 19:00,1.1
27-03-00 18:00,1.4
27-03-00 17:00,1.2
27-03-00 16:00,1.8
27-03-00 15:00,4.8
27-03-00 14:00,2.9
27-03-00 13:00,2.7
27-03-00 12:00,1.3
27-03-00 11:00,1.2
27-03-00 10:00,1.5
27-03-00 09:00,1.5
27-03-00 08:00,1.9
27-03-00 07:00,2.3
27-03-00 06:00,1.4
27-03-00 05:00,0.7
27-03-00 04:00,0.5
27-03-00 03:00,0.6
27-03-00 02:00,0.8
27-03-00 01:00,1.3
27-03-00 00:00,1.8
26-03-00 23:00,1.6
26-03-00 22:00,1.7
26-03-00 21:00,2.5
26-03-00 20:00,2.3
26-03-00 19:00,1.6
26-03-00 18:00,1.4
26-03-00 17:00,1.0
26-03-00 16:00,0.9
26-03-00 15:00,0.9
26-03-00 14:00,0.9
26-03-00 13:00,1.0
26-03-00 12:00,1.1
26-03-00 11:00,1.1
26-03-00 10:00,1.0
26-03-00 09:00,2.4
26-03-00 08:00,2.4
26-03-00 07:00,3.2
26-03-00 06:00,3.4
26-03-00 05:00,3.9
26-03-00 04:00,4.6
26-03-00 03:00,6.2
26-03-00 02:00,
26-03-00 01:00,
26-03-00 00:00,
25-03-00 23:00,
25-03-00 22:00,6.2
25-03-00 21:00,5.1
25-03-00 20:00,3.7
