Datum Zeit,Leipzig-West SO2
,µg/m³
01-04-00 00:00,1.1
31-03-00 23:00,1.7
31-03-00 22:00,2.4
31-03-00 21:00,3.1
31-03-00 20:00,4.0
31-03-00 19:00,4.0
31-03-00 18:00,4.4
31-03-00 17:00,7.0
31-03-00 16:00,4.2
31-03-00 15:00,2.3
31-03-00 14:00,2.0
31-03-00 13:00,1.3
31-03-00 12:00,1.0
31-03-00 11:00,1.2
31-03-00 10:00,1.0
31-03-00 09:00,1.0
31-03-00 08:00,1.6
31-03-00 07:00,1.0
31-03-00 06:00,1.0
31-03-00 05:00,1.0
31-03-00 04:00,1.0
31-03-00 03:00,
31-03-00 02:00,1.8
31-03-00 01:00,2.1
31-03-00 00:00,1.9
30-03-00 23:00,1.8
30-03-00 22:00,1.2
30-03-00 21:00,1.1
30-03-00 20:00,1.0
30-03-00 19:00,2.8
30-03-00 18:00,4.0
30-03-00 17:00,3.0
30-03-00 16:00,3.0
30-03-00 15:00,4.1
30-03-00 14:00,3.4
30-03-00 13:00,2.9
30-03-00 12:00,3.7
30-03-00 11:00,4.2
30-03-00 10:00,6.3
30-03-00 09:00,8.6
30-03-00 08:00,7.4
30-03-00 07:00,5.3
30-03-00 06:00,5.7
30-03-00 05:00,5.3
30-03-00 04:00,
30-03-00 03:00,5.7
30-03-00 02:00,6.6
30-03-00 01:00,7.6
30-03-00 00:00,8.8
29-03-00 23:00,6.4
29-03-00 22:00,5.8
29-03-00 21:00,5.1
29-03-00 20:00,5.9
29-03-00 19:00,5.9
29-03-00 18:00,6.7
29-03-00 17:00,5.3
29-03-00 16:00,5.9
29-03-00 15:00,5.0
29-03-00 14:00,4.0
29-03-00 13:00,3.9
29-03-00 12:00,2.6
29-03-00 11:00,1.8
29-03-00 10:00,2.8
29-03-00 09:00,3.8
29-03-00 08:00,3.7
29-03-00 07:00,3.9
29-03-00 06:00,9.1
29-03-00 05:00,12.4
29-03-00 04:00,
29-03-00 03:00,9.5
29-03-00 02:00,5.9
29-03-00 01:00,7.5
29-03-00 00:00,4.6
28-03-00 23:00,4.3
28-03-00 22:00,5.1
28-03-00 21:00,6.5
28-03-00 20:00,4.8
28-03-00 19:00,4.3
28-03-00 18:00,3.3
28-03-00 17:00,1.2
28-03-00 16:00,3.4
28-03-00 15:00,3.1
28-03-00 14:00,2.2
28-03-00 13:00,2.3
28-03-00 12:00,1.3
28-03-00 11:00,2.8
28-03-00 10:00,2.8
28-03-00 09:00,2.6
28-03-00 08:00,2.7
28-03-00 07:00,2.5
28-03-00 06:00,3.0
28-03-00 05:00,
28-03-00 04:00,1.7
28-03-00 03:00,3.0
28-03-00 02:00,4.4
28-03-00 01:00,3.4
28-03-00 00:00,1.0
27-03-00 23:00,1.4
27-03-00 22:00,1.0
27-03-00 21:00,1.0
27-03-00 20:00,1.2
27-03-00 19:00,1.0
27-03-00 18:00,1.5
27-03-00 17:00,1.0
27-03-00 16:00,1.0
27-03-00 15:00,1.2
27-03-00 14:00,1.5
27-03-00 13:00,1.0
27-03-00 12:00,1.6
27-03-00 11:00,2.7
27-03-00 10:00,2.6
27-03-00 09:00,1.9
27-03-00 08:00,2.1
27-03-00 07:00,1.8
27-03-00 06:00,1.2
27-03-00 05:00,
27-03-00 04:00,1.7
27-03-00 03:00,2.8
27-03-00 02:00,1.2
27-03-00 01:00,1.7
27-03-00 00:00,2.7
26-03-00 23:00,2.8
26-03-00 22:00,3.9
26-03-00 21:00,3.6
26-03-00 20:00,2.9
26-03-00 19:00,4.0
26-03-00 18:00,2.5
26-03-00 17:00,2.4
26-03-00 16:00,2.4
26-03-00 15:00,10.2
26-03-00 14:00,5.8
26-03-00 13:00,1.8
26-03-00 12:00,2.9
26-03-00 11:00,3.9
26-03-00 10:00,3.4
26-03-00 09:00,3.9
26-03-00 08:00,2.3
26-03-00 07:00,2.1
26-03-00 06:00,
26-03-00 05:00,2.6
26-03-00 04:00,2.0
26-03-00 03:00,2.1
26-03-00 02:00,2.9
26-03-00 01:00,2.0
