Datum Zeit,Borna O3
,µg/m³
01-04-00 00:00,24
31-03-00 23:00,19
31-03-00 22:00,13
31-03-00 21:00,8
31-03-00 20:00,16
31-03-00 19:00,18
31-03-00 18:00,20
31-03-00 17:00,28
31-03-00 16:00,36
31-03-00 15:00,39
31-03-00 14:00,37
31-03-00 13:00,31
31-03-00 12:00,29
31-03-00 11:00,20
31-03-00 10:00,23
31-03-00 09:00,21
31-03-00 08:00,14
31-03-00 07:00,16
31-03-00 06:00,26
31-03-00 05:00,38
31-03-00 04:00,
31-03-00 03:00,46
31-03-00 02:00,47
31-03-00 01:00,45
31-03-00 00:00,43
30-03-00 23:00,37
30-03-00 22:00,37
30-03-00 21:00,43
30-03-00 20:00,46
30-03-00 19:00,46
30-03-00 18:00,46
30-03-00 17:00,50
30-03-00 16:00,49
30-03-00 15:00,47
30-03-00 14:00,48
30-03-00 13:00,50
30-03-00 12:00,54
30-03-00 11:00,51
30-03-00 10:00,45
30-03-00 09:00,55
30-03-00 08:00,49
30-03-00 07:00,45
30-03-00 06:00,49
30-03-00 05:00,58
30-03-00 04:00,
30-03-00 03:00,56
30-03-00 02:00,63
30-03-00 01:00,58
30-03-00 00:00,46
29-03-00 23:00,40
29-03-00 22:00,41
29-03-00 21:00,45
29-03-00 20:00,44
29-03-00 19:00,41
29-03-00 18:00,35
29-03-00 17:00,34
29-03-00 16:00,27
29-03-00 15:00,21
29-03-00 14:00,16
29-03-00 13:00,15
29-03-00 12:00,15
29-03-00 11:00,14
29-03-00 10:00,9
29-03-00 09:00,9
29-03-00 08:00,7
29-03-00 07:00,11
29-03-00 06:00,11
29-03-00 05:00,
29-03-00 04:00,14
29-03-00 03:00,14
29-03-00 02:00,13
29-03-00 01:00,11
29-03-00 00:00,14
28-03-00 23:00,14
28-03-00 22:00,11
28-03-00 21:00,20
28-03-00 20:00,25
28-03-00 19:00,23
28-03-00 18:00,32
28-03-00 17:00,31
28-03-00 16:00,29
28-03-00 15:00,40
28-03-00 14:00,40
28-03-00 13:00,39
28-03-00 12:00,36
28-03-00 11:00,34
28-03-00 10:00,51
28-03-00 09:00,52
28-03-00 08:00,47
28-03-00 07:00,47
28-03-00 06:00,51
28-03-00 05:00,
28-03-00 04:00,56
28-03-00 03:00,60
28-03-00 02:00,66
28-03-00 01:00,71
28-03-00 00:00,71
27-03-00 23:00,68
27-03-00 22:00,72
27-03-00 21:00,67
27-03-00 20:00,65
27-03-00 19:00,71
27-03-00 18:00,73
27-03-00 17:00,74
27-03-00 16:00,73
27-03-00 15:00,63
27-03-00 14:00,57
27-03-00 13:00,54
27-03-00 12:00,62
27-03-00 11:00,54
27-03-00 10:00,63
27-03-00 09:00,52
27-03-00 08:00,37
27-03-00 07:00,27
27-03-00 06:00,
27-03-00 05:00,33
27-03-00 04:00,40
27-03-00 03:00,32
27-03-00 02:00,25
27-03-00 01:00,27
27-03-00 00:00,27
26-03-00 23:00,28
26-03-00 22:00,23
26-03-00 21:00,32
26-03-00 20:00,35
26-03-00 19:00,46
26-03-00 18:00,42
26-03-00 17:00,56
26-03-00 16:00,68
26-03-00 15:00,69
26-03-00 14:00,58
26-03-00 13:00,42
26-03-00 12:00,55
26-03-00 11:00,60
26-03-00 10:00,64
26-03-00 09:00,56
26-03-00 08:00,46
26-03-00 07:00,36
26-03-00 06:00,
26-03-00 05:00,25
26-03-00 04:00,29
26-03-00 03:00,33
26-03-00 02:00,29
26-03-00 01:00,25
26-03-00 00:00,20
25-03-00 23:00,20
25-03-00 22:00,21
25-03-00 21:00,9
25-03-00 20:00,10
25-03-00 19:00,30
25-03-00 18:00,49
25-03-00 17:00,55
25-03-00 16:00,49
25-03-00 15:00,60
25-03-00 14:00,66
25-03-00 13:00,63
25-03-00 12:00,53
25-03-00 11:00,39
25-03-00 10:00,46
25-03-00 09:00,56
25-03-00 08:00,29
25-03-00 07:00,
25-03-00 06:00,29
25-03-00 05:00,30
25-03-00 04:00,38
25-03-00 03:00,37
25-03-00 02:00,36
25-03-00 01:00,23
25-03-00 00:00,19
24-03-00 23:00,37
24-03-00 22:00,27
24-03-00 21:00,9
24-03-00 20:00,6
24-03-00 19:00,7
24-03-00 18:00,9
24-03-00 17:00,9
24-03-00 16:00,7
24-03-00 15:00,8
24-03-00 14:00,9
24-03-00 13:00,5
24-03-00 12:00,5
24-03-00 11:00,4
24-03-00 10:00,2
24-03-00 09:00,3
24-03-00 08:00,3
24-03-00 07:00,
24-03-00 06:00,9
24-03-00 05:00,12
24-03-00 04:00,19
24-03-00 03:00,23
24-03-00 02:00,38
24-03-00 01:00,38
24-03-00 00:00,33
23-03-00 23:00,28
23-03-00 22:00,29
23-03-00 21:00,25
23-03-00 20:00,22
23-03-00 19:00,26
23-03-00 18:00,52
23-03-00 17:00,86
23-03-00 16:00,79
23-03-00 15:00,57
23-03-00 14:00,60
23-03-00 13:00,47
23-03-00 12:00,27
23-03-00 11:00,21
23-03-00 10:00,22
23-03-00 09:00,11
23-03-00 08:00,
23-03-00 07:00,2
23-03-00 06:00,2
23-03-00 05:00,5
23-03-00 04:00,5
23-03-00 03:00,9
23-03-00 02:00,12
23-03-00 01:00,13
23-03-00 00:00,6
22-03-00 23:00,2
22-03-00 22:00,1
22-03-00 21:00,1
22-03-00 20:00,2
22-03-00 19:00,21
22-03-00 18:00,64
22-03-00 17:00,73
22-03-00 16:00,61
22-03-00 15:00,54
22-03-00 14:00,61
22-03-00 13:00,52
22-03-00 12:00,42
22-03-00 11:00,25
22-03-00 10:00,12
22-03-00 09:00,5
22-03-00 08:00,
22-03-00 07:00,2
22-03-00 06:00,1
22-03-00 05:00,1
22-03-00 04:00,1
22-03-00 03:00,1
22-03-00 02:00,1
22-03-00 01:00,1
22-03-00 00:00,1
21-03-00 23:00,1
21-03-00 22:00,1
21-03-00 21:00,2
21-03-00 20:00,3
21-03-00 19:00,7
21-03-00 18:00,28
21-03-00 17:00,43
21-03-00 16:00,42
21-03-00 15:00,37
21-03-00 14:00,
21-03-00 13:00,
21-03-00 12:00,
21-03-00 11:00,15
21-03-00 10:00,19
21-03-00 09:00,14
21-03-00 08:00,11
21-03-00 07:00,21
21-03-00 06:00,
21-03-00 05:00,46
21-03-00 04:00,48
21-03-00 03:00,43
21-03-00 02:00,42
21-03-00 01:00,39
21-03-00 00:00,45
20-03-00 23:00,44
20-03-00 22:00,39
20-03-00 21:00,30
20-03-00 20:00,35
20-03-00 19:00,33
20-03-00 18:00,39
20-03-00 17:00,69
20-03-00 16:00,57
20-03-00 15:00,42
20-03-00 14:00,33
20-03-00 13:00,37
20-03-00 12:00,32
20-03-00 11:00,24
20-03-00 10:00,20
20-03-00 09:00,4
20-03-00 08:00,2
20-03-00 07:00,
20-03-00 06:00,2
20-03-00 05:00,4
20-03-00 04:00,8
20-03-00 03:00,10
20-03-00 02:00,14
20-03-00 01:00,22
20-03-00 00:00,45
19-03-00 23:00,35
19-03-00 22:00,57
19-03-00 21:00,65
19-03-00 20:00,71
19-03-00 19:00,75
19-03-00 18:00,80
19-03-00 17:00,84
19-03-00 16:00,82
19-03-00 15:00,79
19-03-00 14:00,81
19-03-00 13:00,79
19-03-00 12:00,75
19-03-00 11:00,68
19-03-00 10:00,60
19-03-00 09:00,42
19-03-00 08:00,38
19-03-00 07:00,
19-03-00 06:00,42
19-03-00 05:00,13
19-03-00 04:00,4
19-03-00 03:00,2
19-03-00 02:00,2
19-03-00 01:00,2
19-03-00 00:00,3
18-03-00 23:00,3
18-03-00 22:00,1
18-03-00 21:00,4
18-03-00 20:00,13
18-03-00 19:00,41
18-03-00 18:00,79
18-03-00 17:00,79
18-03-00 16:00,71
18-03-00 15:00,71
18-03-00 14:00,63
18-03-00 13:00,62
18-03-00 12:00,57
18-03-00 11:00,64
18-03-00 10:00,63
18-03-00 09:00,53
18-03-00 08:00,
18-03-00 07:00,5
18-03-00 06:00,5
18-03-00 05:00,35
18-03-00 04:00,44
18-03-00 03:00,45
18-03-00 02:00,39
18-03-00 01:00,43
18-03-00 00:00,42
17-03-00 23:00,46
17-03-00 22:00,60
17-03-00 21:00,59
17-03-00 20:00,59
17-03-00 19:00,64
17-03-00 18:00,68
17-03-00 17:00,73
17-03-00 16:00,73
17-03-00 15:00,61
17-03-00 14:00,59
17-03-00 13:00,60
17-03-00 12:00,55
17-03-00 11:00,55
17-03-00 10:00,59
17-03-00 09:00,61
17-03-00 08:00,
17-03-00 07:00,66
17-03-00 06:00,59
17-03-00 05:00,54
17-03-00 04:00,45
17-03-00 03:00,54
17-03-00 02:00,51
17-03-00 01:00,56
17-03-00 00:00,60
16-03-00 23:00,67
16-03-00 22:00,61
16-03-00 21:00,39
16-03-00 20:00,47
16-03-00 19:00,18
16-03-00 18:00,49
16-03-00 17:00,65
16-03-00 16:00,68
16-03-00 15:00,63
16-03-00 14:00,62
16-03-00 13:00,67
16-03-00 12:00,69
16-03-00 11:00,67
16-03-00 10:00,68
16-03-00 09:00,
16-03-00 08:00,67
16-03-00 07:00,71
16-03-00 06:00,65
16-03-00 05:00,70
16-03-00 04:00,58
16-03-00 03:00,45
16-03-00 02:00,46
16-03-00 01:00,47
