Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-15,14.33
29-06-15,10.15
28-06-15,5.96
27-06-15,11.58
26-06-15,15.00
25-06-15,9.34
24-06-15,6.58
23-06-15,4.56
22-06-15,6.52
21-06-15,6.27
20-06-15,4.99
19-06-15,5.46
18-06-15,10.71
17-06-15,7.17
16-06-15,6.50
15-06-15,6.72
14-06-15,11.08
13-06-15,19.64
12-06-15,18.56
11-06-15,11.71
10-06-15,8.35
09-06-15,7.39
08-06-15,10.51
07-06-15,9.34
06-06-15,12.73
05-06-15,10.96
04-06-15,9.95
03-06-15,8.56
02-06-15,7.43
01-06-15,7.06

