Datum Zeit,Glauchau PM10
,µg/m³
30-06-15,18
29-06-15,12
28-06-15,11
27-06-15,12
26-06-15,16
25-06-15,13
24-06-15,9
23-06-15,5
22-06-15,7
21-06-15,8
20-06-15,6
19-06-15,9
18-06-15,11
17-06-15,13
16-06-15,13
15-06-15,13
14-06-15,12
13-06-15,18
12-06-15,19
11-06-15,18
10-06-15,14
09-06-15,11
08-06-15,15
07-06-15,16
06-06-15,16
05-06-15,20
04-06-15,19
03-06-15,12
02-06-15,10
01-06-15,8

