Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-15,11.85
29-06-15,8.46
28-06-15,5.32
27-06-15,7.90
26-06-15,11.48
25-06-15,7.60
24-06-15,5.37
23-06-15,3.05
22-06-15,4.97
21-06-15,5.48
20-06-15,4.18
19-06-15,5.00
18-06-15,7.81
17-06-15,6.25
16-06-15,5.77
15-06-15,6.21
14-06-15,9.27
13-06-15,16.56
12-06-15,15.79
11-06-15,10.07
10-06-15,7.22
09-06-15,6.37
08-06-15,9.37
07-06-15,8.71
06-06-15,11.15
05-06-15,10.37
04-06-15,8.92
03-06-15,7.11
02-06-15,5.22
01-06-15,5.67

