Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-06-15,12.13
29-06-15,11.66
28-06-15,6.55
27-06-15,11.39
26-06-15,16.96
25-06-15,14.09
24-06-15,6.95
23-06-15,5.75
22-06-15,8.41
21-06-15,7.40
20-06-15,6.25
19-06-15,6.24
18-06-15,10.69
17-06-15,9.30
16-06-15,8.28
15-06-15,7.33
14-06-15,10.96
13-06-15,19.77
12-06-15,17.46
11-06-15,13.75
10-06-15,9.44
09-06-15,7.18
08-06-15,8.55
07-06-15,9.70
06-06-15,17.22
05-06-15,13.53
04-06-15,9.15
03-06-15,9.83
02-06-15,8.04
01-06-15,7.69

