Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-06-15,15.98
29-06-15,11.41
28-06-15,6.79
27-06-15,10.17
26-06-15,15.97
25-06-15,10.92
24-06-15,7.20
23-06-15,6.07
22-06-15,7.96
21-06-15,7.44
20-06-15,6.16
19-06-15,7.87
18-06-15,12.49
17-06-15,9.17
16-06-15,9.12
15-06-15,9.98
14-06-15,11.74
13-06-15,22.99
12-06-15,21.24
11-06-15,14.30
10-06-15,10.79
09-06-15,11.40
08-06-15,13.10
07-06-15,11.01
06-06-15,14.42
05-06-15,12.65
04-06-15,13.01
03-06-15,10.13
02-06-15,8.41
01-06-15,8.25

