Datum Zeit,Leipzig-West NO2
,µg/m³
01-02-04 00:00,12
31-01-04 23:00,12
31-01-04 22:00,14
31-01-04 21:00,16
31-01-04 20:00,16
31-01-04 19:00,19
31-01-04 18:00,20
31-01-04 17:00,23
31-01-04 16:00,21
31-01-04 15:00,20
31-01-04 14:00,21
31-01-04 13:00,20
31-01-04 12:00,21
31-01-04 11:00,21
31-01-04 10:00,17
31-01-04 09:00,15
31-01-04 08:00,15
31-01-04 07:00,17
31-01-04 06:00,17
31-01-04 05:00,16
31-01-04 04:00,20
31-01-04 03:00,20
31-01-04 02:00,16
31-01-04 01:00,19
31-01-04 00:00,22
30-01-04 23:00,18
30-01-04 22:00,20
30-01-04 21:00,20
30-01-04 20:00,24
30-01-04 19:00,27
30-01-04 18:00,28
30-01-04 17:00,30
30-01-04 16:00,24
30-01-04 15:00,22
30-01-04 14:00,19
30-01-04 13:00,17
30-01-04 12:00,18
30-01-04 11:00,18
30-01-04 10:00,18
30-01-04 09:00,19
30-01-04 08:00,26
30-01-04 07:00,27
30-01-04 06:00,24
30-01-04 05:00,21
30-01-04 04:00,20
30-01-04 03:00,19
30-01-04 02:00,18
30-01-04 01:00,19
30-01-04 00:00,20
29-01-04 23:00,20
29-01-04 22:00,18
29-01-04 21:00,22
29-01-04 20:00,24
29-01-04 19:00,23
29-01-04 18:00,26
29-01-04 17:00,26
29-01-04 16:00,24
29-01-04 15:00,19
29-01-04 14:00,21
29-01-04 13:00,19
29-01-04 12:00,25
29-01-04 11:00,27
29-01-04 10:00,29
29-01-04 09:00,28
29-01-04 08:00,24
29-01-04 07:00,23
29-01-04 06:00,17
29-01-04 05:00,18
29-01-04 04:00,19
29-01-04 03:00,19
29-01-04 02:00,20
29-01-04 01:00,20
29-01-04 00:00,23
28-01-04 23:00,28
28-01-04 22:00,38
28-01-04 21:00,48
28-01-04 20:00,50
28-01-04 19:00,49
28-01-04 18:00,42
28-01-04 17:00,39
28-01-04 16:00,39
