Datum Zeit,Glauchau O3
,µg/m³
01-02-04 00:00,72
31-01-04 23:00,73
31-01-04 22:00,74
31-01-04 21:00,74
31-01-04 20:00,73
31-01-04 19:00,73
31-01-04 18:00,71
31-01-04 17:00,67
31-01-04 16:00,65
31-01-04 15:00,68
31-01-04 14:00,69
31-01-04 13:00,69
31-01-04 12:00,69
31-01-04 11:00,67
31-01-04 10:00,65
31-01-04 09:00,64
31-01-04 08:00,66
31-01-04 07:00,65
31-01-04 06:00,65
31-01-04 05:00,65
31-01-04 04:00,69
31-01-04 03:00,67
31-01-04 02:00,62
31-01-04 01:00,59
31-01-04 00:00,62
30-01-04 23:00,62
30-01-04 22:00,60
30-01-04 21:00,57
30-01-04 20:00,53
30-01-04 19:00,52
30-01-04 18:00,48
30-01-04 17:00,47
30-01-04 16:00,48
30-01-04 15:00,50
30-01-04 14:00,58
30-01-04 13:00,62
30-01-04 12:00,60
30-01-04 11:00,57
30-01-04 10:00,55
30-01-04 09:00,53
30-01-04 08:00,48
30-01-04 07:00,45
30-01-04 06:00,46
30-01-04 05:00,49
30-01-04 04:00,51
30-01-04 03:00,50
30-01-04 02:00,49
30-01-04 01:00,49
30-01-04 00:00,46
29-01-04 23:00,46
29-01-04 22:00,49
29-01-04 21:00,51
29-01-04 20:00,55
29-01-04 19:00,55
29-01-04 18:00,53
29-01-04 17:00,57
29-01-04 16:00,56
29-01-04 15:00,59
29-01-04 14:00,61
29-01-04 13:00,51
29-01-04 12:00,45
29-01-04 11:00,47
29-01-04 10:00,47
29-01-04 09:00,47
29-01-04 08:00,48
29-01-04 07:00,50
29-01-04 06:00,51
29-01-04 05:00,52
29-01-04 04:00,54
29-01-04 03:00,52
29-01-04 02:00,46
29-01-04 01:00,43
29-01-04 00:00,41
28-01-04 23:00,37
28-01-04 22:00,29
28-01-04 21:00,23
28-01-04 20:00,14
28-01-04 19:00,13
28-01-04 18:00,17
28-01-04 17:00,25
28-01-04 16:00,30
28-01-04 15:00,34
28-01-04 14:00,31
28-01-04 13:00,28
28-01-04 12:00,30
28-01-04 11:00,29
28-01-04 10:00,23
28-01-04 09:00,19
28-01-04 08:00,16
28-01-04 07:00,21
28-01-04 06:00,32
28-01-04 05:00,42
28-01-04 04:00,43
28-01-04 03:00,24
28-01-04 02:00,19
28-01-04 01:00,18
28-01-04 00:00,17
27-01-04 23:00,11
27-01-04 22:00,11
27-01-04 21:00,8
27-01-04 20:00,5
27-01-04 19:00,7
27-01-04 18:00,6
27-01-04 17:00,15
27-01-04 16:00,20
27-01-04 15:00,20
27-01-04 14:00,
27-01-04 13:00,
27-01-04 12:00,14
27-01-04 11:00,13
27-01-04 10:00,9
27-01-04 09:00,13
27-01-04 08:00,11
27-01-04 07:00,9
27-01-04 06:00,17
27-01-04 05:00,35
27-01-04 04:00,37
27-01-04 03:00,26
27-01-04 02:00,18
27-01-04 01:00,5
27-01-04 00:00,1
26-01-04 23:00,2
26-01-04 22:00,2
26-01-04 21:00,7
26-01-04 20:00,43
26-01-04 19:00,49
26-01-04 18:00,45
26-01-04 17:00,35
26-01-04 16:00,16
26-01-04 15:00,37
26-01-04 14:00,41
26-01-04 13:00,35
26-01-04 12:00,13
26-01-04 11:00,7
26-01-04 10:00,4
26-01-04 09:00,2
26-01-04 08:00,2
26-01-04 07:00,1
26-01-04 06:00,2
26-01-04 05:00,7
26-01-04 04:00,22
26-01-04 03:00,20
26-01-04 02:00,22
26-01-04 01:00,21
26-01-04 00:00,18
25-01-04 23:00,21
25-01-04 22:00,26
25-01-04 21:00,30
25-01-04 20:00,38
25-01-04 19:00,40
25-01-04 18:00,48
25-01-04 17:00,45
25-01-04 16:00,41
25-01-04 15:00,46
25-01-04 14:00,50
25-01-04 13:00,45
25-01-04 12:00,43
25-01-04 11:00,30
25-01-04 10:00,24
25-01-04 09:00,23
25-01-04 08:00,25
25-01-04 07:00,28
25-01-04 06:00,35
25-01-04 05:00,43
25-01-04 04:00,53
25-01-04 03:00,57
25-01-04 02:00,55
25-01-04 01:00,56
25-01-04 00:00,53
24-01-04 23:00,35
24-01-04 22:00,34
24-01-04 21:00,35
24-01-04 20:00,14
24-01-04 19:00,6
24-01-04 18:00,23
24-01-04 17:00,38
24-01-04 16:00,51
24-01-04 15:00,58
24-01-04 14:00,59
24-01-04 13:00,49
24-01-04 12:00,38
24-01-04 11:00,35
24-01-04 10:00,10
24-01-04 09:00,7
24-01-04 08:00,1
24-01-04 07:00,1
24-01-04 06:00,1
24-01-04 05:00,1
24-01-04 04:00,1
24-01-04 03:00,1
24-01-04 02:00,1
24-01-04 01:00,2
24-01-04 00:00,3
23-01-04 23:00,4
23-01-04 22:00,3
23-01-04 21:00,3
23-01-04 20:00,3
23-01-04 19:00,9
23-01-04 18:00,19
23-01-04 17:00,32
23-01-04 16:00,39
23-01-04 15:00,43
23-01-04 14:00,39
23-01-04 13:00,41
23-01-04 12:00,27
23-01-04 11:00,11
23-01-04 10:00,5
23-01-04 09:00,3
23-01-04 08:00,2
23-01-04 07:00,2
23-01-04 06:00,1
23-01-04 05:00,1
23-01-04 04:00,1
23-01-04 03:00,1
23-01-04 02:00,1
23-01-04 01:00,2
23-01-04 00:00,2
22-01-04 23:00,3
22-01-04 22:00,3
22-01-04 21:00,4
22-01-04 20:00,3
22-01-04 19:00,3
22-01-04 18:00,4
22-01-04 17:00,25
22-01-04 16:00,28
22-01-04 15:00,31
22-01-04 14:00,30
22-01-04 13:00,33
22-01-04 12:00,32
22-01-04 11:00,18
22-01-04 10:00,6
22-01-04 09:00,21
22-01-04 08:00,19
22-01-04 07:00,15
22-01-04 06:00,31
22-01-04 05:00,28
22-01-04 04:00,23
22-01-04 03:00,26
22-01-04 02:00,30
22-01-04 01:00,19
22-01-04 00:00,4
21-01-04 23:00,1
21-01-04 22:00,1
21-01-04 21:00,1
21-01-04 20:00,3
21-01-04 19:00,6
21-01-04 18:00,8
21-01-04 17:00,19
21-01-04 16:00,27
21-01-04 15:00,28
21-01-04 14:00,24
21-01-04 13:00,25
21-01-04 12:00,27
21-01-04 11:00,18
21-01-04 10:00,12
21-01-04 09:00,14
21-01-04 08:00,3
21-01-04 07:00,5
21-01-04 06:00,11
21-01-04 05:00,19
21-01-04 04:00,14
21-01-04 03:00,19
21-01-04 02:00,12
21-01-04 01:00,16
21-01-04 00:00,19
20-01-04 23:00,20
