Datum Zeit,Carlsfeld O3
,µg/m³
01-02-04 00:00,74
31-01-04 23:00,75
31-01-04 22:00,74
31-01-04 21:00,74
31-01-04 20:00,76
31-01-04 19:00,78
31-01-04 18:00,78
31-01-04 17:00,80
31-01-04 16:00,75
31-01-04 15:00,70
31-01-04 14:00,72
31-01-04 13:00,70
31-01-04 12:00,66
31-01-04 11:00,68
31-01-04 10:00,68
31-01-04 09:00,67
31-01-04 08:00,65
31-01-04 07:00,65
31-01-04 06:00,64
31-01-04 05:00,64
31-01-04 04:00,61
31-01-04 03:00,66
31-01-04 02:00,70
31-01-04 01:00,68
31-01-04 00:00,64
30-01-04 23:00,66
30-01-04 22:00,71
30-01-04 21:00,72
30-01-04 20:00,72
30-01-04 19:00,70
30-01-04 18:00,67
30-01-04 17:00,65
30-01-04 16:00,66
30-01-04 15:00,62
30-01-04 14:00,61
30-01-04 13:00,67
30-01-04 12:00,69
30-01-04 11:00,66
30-01-04 10:00,62
30-01-04 09:00,63
30-01-04 08:00,60
30-01-04 07:00,57
30-01-04 06:00,57
30-01-04 05:00,56
30-01-04 04:00,57
30-01-04 03:00,57
30-01-04 02:00,58
30-01-04 01:00,59
30-01-04 00:00,57
29-01-04 23:00,57
29-01-04 22:00,59
29-01-04 21:00,59
29-01-04 20:00,64
29-01-04 19:00,70
29-01-04 18:00,75
29-01-04 17:00,78
29-01-04 16:00,81
29-01-04 15:00,83
29-01-04 14:00,77
29-01-04 13:00,64
29-01-04 12:00,67
29-01-04 11:00,64
29-01-04 10:00,62
29-01-04 09:00,61
29-01-04 08:00,64
29-01-04 07:00,66
29-01-04 06:00,66
29-01-04 05:00,65
29-01-04 04:00,65
29-01-04 03:00,64
29-01-04 02:00,62
29-01-04 01:00,58
29-01-04 00:00,57
28-01-04 23:00,56
28-01-04 22:00,55
28-01-04 21:00,57
28-01-04 20:00,54
28-01-04 19:00,45
28-01-04 18:00,42
28-01-04 17:00,46
28-01-04 16:00,48
28-01-04 15:00,44
28-01-04 14:00,45
28-01-04 13:00,42
28-01-04 12:00,48
28-01-04 11:00,56
28-01-04 10:00,58
28-01-04 09:00,54
28-01-04 08:00,54
28-01-04 07:00,56
28-01-04 06:00,54
28-01-04 05:00,55
28-01-04 04:00,58
28-01-04 03:00,47
28-01-04 02:00,36
28-01-04 01:00,39
28-01-04 00:00,39
27-01-04 23:00,38
27-01-04 22:00,35
27-01-04 21:00,35
27-01-04 20:00,36
27-01-04 19:00,37
27-01-04 18:00,34
27-01-04 17:00,40
27-01-04 16:00,40
27-01-04 15:00,57
27-01-04 14:00,57
27-01-04 13:00,58
27-01-04 12:00,57
27-01-04 11:00,58
27-01-04 10:00,53
27-01-04 09:00,52
27-01-04 08:00,53
27-01-04 07:00,54
27-01-04 06:00,50
27-01-04 05:00,38
27-01-04 04:00,33
27-01-04 03:00,39
27-01-04 02:00,49
27-01-04 01:00,60
27-01-04 00:00,61
26-01-04 23:00,66
26-01-04 22:00,69
26-01-04 21:00,73
26-01-04 20:00,70
26-01-04 19:00,69
26-01-04 18:00,71
26-01-04 17:00,71
26-01-04 16:00,69
26-01-04 15:00,71
26-01-04 14:00,69
26-01-04 13:00,63
26-01-04 12:00,62
26-01-04 11:00,60
26-01-04 10:00,56
26-01-04 09:00,54
26-01-04 08:00,52
26-01-04 07:00,52
26-01-04 06:00,48
26-01-04 05:00,44
26-01-04 04:00,45
26-01-04 03:00,47
26-01-04 02:00,46
26-01-04 01:00,53
26-01-04 00:00,56
25-01-04 23:00,57
25-01-04 22:00,55
25-01-04 21:00,59
25-01-04 20:00,60
25-01-04 19:00,56
25-01-04 18:00,57
25-01-04 17:00,61
25-01-04 16:00,66
25-01-04 15:00,67
25-01-04 14:00,66
25-01-04 13:00,66
25-01-04 12:00,64
25-01-04 11:00,59
25-01-04 10:00,50
25-01-04 09:00,40
