Datum Zeit,Chemnitz-Mitte BEN
,µg/m³
01-02-04 00:00,0.9
31-01-04 23:00,0.9
31-01-04 22:00,0.9
31-01-04 21:00,1.0
31-01-04 20:00,1.4
31-01-04 19:00,1.7
31-01-04 18:00,2.2
31-01-04 17:00,1.8
31-01-04 16:00,1.6
31-01-04 15:00,1.8
31-01-04 14:00,1.3
31-01-04 13:00,1.1
31-01-04 12:00,1.2
31-01-04 11:00,1.1
31-01-04 10:00,1.0
31-01-04 09:00,0.9
31-01-04 08:00,0.7
31-01-04 07:00,0.7
31-01-04 06:00,0.8
31-01-04 05:00,0.8
31-01-04 04:00,0.9
31-01-04 03:00,0.8
31-01-04 02:00,1.5
31-01-04 01:00,1.2
31-01-04 00:00,1.3
30-01-04 23:00,1.0
30-01-04 22:00,1.2
30-01-04 21:00,1.4
30-01-04 20:00,1.4
30-01-04 19:00,1.7
30-01-04 18:00,1.8
30-01-04 17:00,1.6
30-01-04 16:00,2.2
30-01-04 15:00,1.5
30-01-04 14:00,1.5
30-01-04 13:00,1.3
30-01-04 12:00,1.2
30-01-04 11:00,1.2
30-01-04 10:00,1.1
30-01-04 09:00,1.3
30-01-04 08:00,
30-01-04 07:00,
30-01-04 06:00,
30-01-04 05:00,
30-01-04 04:00,
30-01-04 03:00,0.7
30-01-04 02:00,0.7
30-01-04 01:00,1.0
30-01-04 00:00,1.1
29-01-04 23:00,1.1
29-01-04 22:00,1.2
29-01-04 21:00,1.2
29-01-04 20:00,1.4
29-01-04 19:00,1.8
29-01-04 18:00,2.0
29-01-04 17:00,2.1
29-01-04 16:00,1.9
29-01-04 15:00,1.4
29-01-04 14:00,1.6
29-01-04 13:00,1.5
29-01-04 12:00,1.3
29-01-04 11:00,1.2
29-01-04 10:00,1.3
29-01-04 09:00,1.4
29-01-04 08:00,1.3
29-01-04 07:00,1.3
29-01-04 06:00,0.8
29-01-04 05:00,0.7
29-01-04 04:00,0.8
29-01-04 03:00,0.9
29-01-04 02:00,0.8
29-01-04 01:00,1.1
29-01-04 00:00,1.1
28-01-04 23:00,1.4
28-01-04 22:00,1.6
28-01-04 21:00,2.1
28-01-04 20:00,2.8
28-01-04 19:00,3.1
28-01-04 18:00,2.9
28-01-04 17:00,2.7
28-01-04 16:00,2.1
28-01-04 15:00,1.9
28-01-04 14:00,2.0
28-01-04 13:00,2.1
28-01-04 12:00,2.1
28-01-04 11:00,2.3
28-01-04 10:00,2.5
28-01-04 09:00,3.4
28-01-04 08:00,3.1
28-01-04 07:00,2.8
28-01-04 06:00,2.2
28-01-04 05:00,2.5
28-01-04 04:00,3.3
28-01-04 03:00,3.4
28-01-04 02:00,3.4
28-01-04 01:00,3.9
28-01-04 00:00,3.9
27-01-04 23:00,4.9
27-01-04 22:00,4.2
27-01-04 21:00,4.9
27-01-04 20:00,4.6
27-01-04 19:00,4.0
27-01-04 18:00,4.8
27-01-04 17:00,6.2
27-01-04 16:00,4.2
27-01-04 15:00,4.1
27-01-04 14:00,4.4
27-01-04 13:00,3.9
27-01-04 12:00,4.9
27-01-04 11:00,4.5
27-01-04 10:00,4.1
27-01-04 09:00,4.1
27-01-04 08:00,4.2
27-01-04 07:00,3.3
27-01-04 06:00,2.7
27-01-04 05:00,2.5
27-01-04 04:00,2.3
27-01-04 03:00,2.0
27-01-04 02:00,2.1
27-01-04 01:00,2.6
27-01-04 00:00,3.6
26-01-04 23:00,4.0
26-01-04 22:00,3.0
26-01-04 21:00,2.4
26-01-04 20:00,3.0
26-01-04 19:00,3.5
26-01-04 18:00,4.2
26-01-04 17:00,2.9
26-01-04 16:00,2.3
26-01-04 15:00,2.1
26-01-04 14:00,2.5
26-01-04 13:00,2.6
26-01-04 12:00,
26-01-04 11:00,
26-01-04 10:00,
26-01-04 09:00,
26-01-04 08:00,
26-01-04 07:00,7.0
26-01-04 06:00,1.6
26-01-04 05:00,1.3
26-01-04 04:00,1.4
26-01-04 03:00,1.3
26-01-04 02:00,1.7
26-01-04 01:00,1.6
26-01-04 00:00,1.8
25-01-04 23:00,1.9
25-01-04 22:00,1.9
25-01-04 21:00,2.0
25-01-04 20:00,1.7
25-01-04 19:00,2.5
25-01-04 18:00,2.4
25-01-04 17:00,2.2
25-01-04 16:00,2.0
25-01-04 15:00,2.1
25-01-04 14:00,1.7
25-01-04 13:00,2.0
25-01-04 12:00,1.9
25-01-04 11:00,2.0
25-01-04 10:00,2.1
25-01-04 09:00,1.9
25-01-04 08:00,1.8
25-01-04 07:00,1.6
25-01-04 06:00,1.4
25-01-04 05:00,1.9
25-01-04 04:00,2.1
25-01-04 03:00,2.8
25-01-04 02:00,4.1
25-01-04 01:00,3.3
25-01-04 00:00,5.0
24-01-04 23:00,3.2
24-01-04 22:00,4.2
24-01-04 21:00,3.5
24-01-04 20:00,4.2
24-01-04 19:00,3.8
24-01-04 18:00,5.2
24-01-04 17:00,5.1
24-01-04 16:00,3.4
24-01-04 15:00,4.0
24-01-04 14:00,4.7
24-01-04 13:00,4.3
24-01-04 12:00,3.5
24-01-04 11:00,3.3
24-01-04 10:00,2.9
24-01-04 09:00,2.4
24-01-04 08:00,2.0
24-01-04 07:00,2.1
24-01-04 06:00,2.1
24-01-04 05:00,2.1
24-01-04 04:00,2.4
24-01-04 03:00,4.2
24-01-04 02:00,6.5
24-01-04 01:00,5.7
24-01-04 00:00,4.7
23-01-04 23:00,5.6
23-01-04 22:00,6.5
23-01-04 21:00,5.5
23-01-04 20:00,6.9
23-01-04 19:00,6.6
23-01-04 18:00,4.8
23-01-04 17:00,4.4
23-01-04 16:00,4.0
23-01-04 15:00,5.5
23-01-04 14:00,4.8
23-01-04 13:00,
23-01-04 12:00,
23-01-04 11:00,
23-01-04 10:00,
23-01-04 09:00,
23-01-04 08:00,10.7
23-01-04 07:00,5.9
23-01-04 06:00,3.1
23-01-04 05:00,1.9
23-01-04 04:00,1.9
23-01-04 03:00,3.3
23-01-04 02:00,3.4
23-01-04 01:00,4.3
23-01-04 00:00,4.9
22-01-04 23:00,3.9
22-01-04 22:00,3.9
22-01-04 21:00,6.6
22-01-04 20:00,8.9
22-01-04 19:00,6.8
22-01-04 18:00,5.4
22-01-04 17:00,2.8
22-01-04 16:00,2.4
22-01-04 15:00,1.7
22-01-04 14:00,1.9
22-01-04 13:00,2.3
22-01-04 12:00,3.0
22-01-04 11:00,3.5
22-01-04 10:00,3.1
22-01-04 09:00,4.4
22-01-04 08:00,2.0
22-01-04 07:00,1.7
