Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-04,9.79
30-01-04,12.53
29-01-04,16.85
28-01-04,46.24
27-01-04,54.24
26-01-04,83.65
25-01-04,88.35
24-01-04,54.94
23-01-04,31.36
22-01-04,15.06
21-01-04,15.19
20-01-04,9.93
19-01-04,13.26
18-01-04,13.93
17-01-04,11.92
16-01-04,10.13
15-01-04,12.35
14-01-04,9.42
13-01-04,11.72
12-01-04,10.57
11-01-04,14.24
10-01-04,29.67
09-01-04,35.22
08-01-04,55.63
07-01-04,50.97
06-01-04,35.15
05-01-04,51.28
04-01-04,25.33
03-01-04,13.21
02-01-04,15.03
01-01-04,23.75

