Datum Zeit,Plauen-Sued PM10
,µg/m³
30-06-08,18
29-06-08,9
28-06-08,11
27-06-08,16
26-06-08,19
25-06-08,19
24-06-08,20
23-06-08,17
22-06-08,15
21-06-08,16
20-06-08,16
19-06-08,18
18-06-08,17
17-06-08,17
16-06-08,14
15-06-08,13
14-06-08,15
13-06-08,7
12-06-08,24
11-06-08,23
10-06-08,27
09-06-08,24
08-06-08,20
07-06-08,23
06-06-08,23
05-06-08,29
04-06-08,42
03-06-08,
02-06-08,33
01-06-08,21

