Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
30-04-09,68
29-04-09,31
28-04-09,47
27-04-09,39
26-04-09,36
25-04-09,35
24-04-09,40
23-04-09,20
22-04-09,43
21-04-09,31
20-04-09,27
19-04-09,27
18-04-09,36
17-04-09,49
16-04-09,39
15-04-09,44
14-04-09,49
13-04-09,40
12-04-09,32
11-04-09,41
10-04-09,33
09-04-09,33
08-04-09,45
07-04-09,67
06-04-09,85
05-04-09,97
04-04-09,77
03-04-09,56
02-04-09,49
01-04-09,43

