Datum Zeit,Niesky O3
,µg/m³
01-05-09 00:00,56
30-04-09 23:00,62
30-04-09 22:00,93
30-04-09 21:00,95
30-04-09 20:00,99
30-04-09 19:00,94
30-04-09 18:00,92
30-04-09 17:00,116
30-04-09 16:00,125
30-04-09 15:00,122
30-04-09 14:00,131
30-04-09 13:00,114
30-04-09 12:00,113
30-04-09 11:00,82
30-04-09 10:00,67
30-04-09 09:00,58
30-04-09 08:00,52
30-04-09 07:00,48
30-04-09 06:00,28
30-04-09 05:00,27
30-04-09 04:00,38
30-04-09 03:00,44
30-04-09 02:00,49
30-04-09 01:00,49
30-04-09 00:00,45
29-04-09 23:00,36
29-04-09 22:00,40
29-04-09 21:00,48
29-04-09 20:00,65
29-04-09 19:00,94
29-04-09 18:00,108
29-04-09 17:00,105
29-04-09 16:00,104
29-04-09 15:00,106
29-04-09 14:00,105
29-04-09 13:00,107
29-04-09 12:00,106
29-04-09 11:00,110
29-04-09 10:00,120
29-04-09 09:00,105
29-04-09 08:00,85
29-04-09 07:00,87
29-04-09 06:00,86
29-04-09 05:00,87
29-04-09 04:00,89
29-04-09 03:00,91
29-04-09 02:00,97
29-04-09 01:00,84
29-04-09 00:00,80
28-04-09 23:00,93
28-04-09 22:00,104
28-04-09 21:00,109
28-04-09 20:00,120
28-04-09 19:00,118
28-04-09 18:00,121
28-04-09 17:00,120
28-04-09 16:00,122
28-04-09 15:00,120
28-04-09 14:00,119
28-04-09 13:00,116
28-04-09 12:00,107
28-04-09 11:00,102
28-04-09 10:00,83
28-04-09 09:00,82
28-04-09 08:00,90
28-04-09 07:00,90
28-04-09 06:00,88
28-04-09 05:00,86
28-04-09 04:00,89
28-04-09 03:00,92
28-04-09 02:00,95
28-04-09 01:00,96
28-04-09 00:00,92
27-04-09 23:00,81
27-04-09 22:00,99
27-04-09 21:00,102
27-04-09 20:00,101
27-04-09 19:00,101
27-04-09 18:00,102
27-04-09 17:00,115
27-04-09 16:00,119
27-04-09 15:00,117
27-04-09 14:00,113
27-04-09 13:00,106
