Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-11,5.98
30-08-11,4.90
29-08-11,3.78
28-08-11,2.90
27-08-11,4.53
26-08-11,16.91
25-08-11,8.85
24-08-11,8.12
23-08-11,11.77
22-08-11,10.68
21-08-11,9.33
20-08-11,8.46
19-08-11,7.11
18-08-11,12.67
17-08-11,7.23
16-08-11,8.45
15-08-11,6.29
14-08-11,4.62
13-08-11,6.97
12-08-11,5.61
11-08-11,5.34
10-08-11,3.40
09-08-11,3.79
08-08-11,3.22
07-08-11,3.95
06-08-11,8.72
05-08-11,7.91
04-08-11,9.13
03-08-11,11.91
02-08-11,7.87
01-08-11,3.51

