Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-08-11,12.12
30-08-11,9.77
29-08-11,8.64
28-08-11,6.31
27-08-11,7.12
26-08-11,21.39
25-08-11,14.89
24-08-11,12.69
23-08-11,15.90
22-08-11,19.86
21-08-11,19.72
20-08-11,14.05
19-08-11,11.91
18-08-11,17.95
17-08-11,16.62
16-08-11,18.55
15-08-11,17.07
14-08-11,10.17
13-08-11,
12-08-11,10.94
11-08-11,9.81
10-08-11,7.32
09-08-11,7.06
08-08-11,8.38
07-08-11,7.45
06-08-11,14.82
05-08-11,18.17
04-08-11,17.37
03-08-11,11.14
02-08-11,16.67
01-08-11,10.70

