Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-11,10.48
30-08-11,9.40
29-08-11,7.56
28-08-11,4.55
27-08-11,5.91
26-08-11,22.13
25-08-11,12.30
24-08-11,
23-08-11,19.76
22-08-11,15.92
21-08-11,15.48
20-08-11,13.91
19-08-11,
18-08-11,17.09
17-08-11,12.76
16-08-11,17.02
15-08-11,11.61
14-08-11,7.40
13-08-11,10.23
12-08-11,9.15
11-08-11,8.14
10-08-11,5.55
09-08-11,5.24
08-08-11,6.50
07-08-11,5.64
06-08-11,12.45
05-08-11,15.29
04-08-11,16.25
03-08-11,16.81
02-08-11,11.39
01-08-11,12.27

