Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-11,9.20
30-08-11,8.57
29-08-11,7.16
28-08-11,6.90
27-08-11,6.31
26-08-11,22.05
25-08-11,11.00
24-08-11,10.41
23-08-11,13.86
22-08-11,16.19
21-08-11,17.33
20-08-11,13.28
19-08-11,10.78
18-08-11,16.44
17-08-11,12.71
16-08-11,13.05
15-08-11,13.98
14-08-11,9.04
13-08-11,9.65
12-08-11,9.84
11-08-11,8.10
10-08-11,5.91
09-08-11,5.60
08-08-11,6.06
07-08-11,6.60
06-08-11,12.64
05-08-11,15.27
04-08-11,12.23
03-08-11,11.75
02-08-11,11.03
01-08-11,9.37

