Datum Zeit,Dresden-Winckelmannstr. PM10
,µg/m³
31-08-11,12
30-08-11,11
29-08-11,10
28-08-11,9
27-08-11,8
26-08-11,29
25-08-11,15
24-08-11,14
23-08-11,21
22-08-11,23
21-08-11,20
20-08-11,15
19-08-11,12
18-08-11,19
17-08-11,15
16-08-11,16
15-08-11,15
14-08-11,12
13-08-11,10
12-08-11,12
11-08-11,12
10-08-11,9
09-08-11,7
08-08-11,8
07-08-11,7
06-08-11,16
05-08-11,16
04-08-11,16
03-08-11,16
02-08-11,14
01-08-11,8

