Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-08-11,7.85
30-08-11,6.54
29-08-11,5.21
28-08-11,4.67
27-08-11,4.65
26-08-11,20.13
25-08-11,9.48
24-08-11,8.58
23-08-11,12.89
22-08-11,14.46
21-08-11,15.59
20-08-11,11.39
19-08-11,7.76
18-08-11,14.44
17-08-11,10.29
16-08-11,10.33
15-08-11,9.68
14-08-11,7.87
13-08-11,7.15
12-08-11,6.12
11-08-11,5.53
10-08-11,3.86
09-08-11,3.84
08-08-11,4.02
07-08-11,4.75
06-08-11,12.41
05-08-11,11.99
04-08-11,10.85
03-08-11,10.15
02-08-11,9.58
01-08-11,5.50

