Datum Zeit,Bautzen PM10
,µg/m³
31-10-11,35
30-10-11,35
29-10-11,32
28-10-11,27
27-10-11,25
26-10-11,22
25-10-11,42
24-10-11,47
23-10-11,35
22-10-11,27
21-10-11,27
20-10-11,13
19-10-11,9
18-10-11,25
17-10-11,18
16-10-11,17
15-10-11,19
14-10-11,17
13-10-11,16
12-10-11,11
11-10-11,8
10-10-11,9
09-10-11,10
08-10-11,9
07-10-11,12
06-10-11,13
05-10-11,17
04-10-11,24
03-10-11,18
02-10-11,19
01-10-11,22

