Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-10-11,35.85
30-10-11,33.82
29-10-11,30.11
28-10-11,20.80
27-10-11,23.27
26-10-11,23.87
25-10-11,19.40
24-10-11,24.45
23-10-11,24.71
22-10-11,23.16
21-10-11,20.98
20-10-11,8.75
19-10-11,5.46
18-10-11,
17-10-11,17.56
16-10-11,13.45
15-10-11,13.10
14-10-11,10.24
13-10-11,7.95
12-10-11,7.33
11-10-11,10.40
10-10-11,7.78
09-10-11,7.18
08-10-11,4.40
07-10-11,6.82
06-10-11,8.10
05-10-11,10.54
04-10-11,18.03
03-10-11,17.99
02-10-11,17.76
01-10-11,15.54

