Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-10-11,20.22
30-10-11,22.15
29-10-11,22.29
28-10-11,24.30
27-10-11,21.11
26-10-11,20.56
25-10-11,13.54
24-10-11,20.19
23-10-11,21.28
22-10-11,17.56
21-10-11,21.12
20-10-11,10.28
19-10-11,7.97
18-10-11,14.71
17-10-11,21.75
16-10-11,14.22
15-10-11,16.60
14-10-11,20.34
13-10-11,11.63
12-10-11,6.26
11-10-11,4.88
10-10-11,6.09
09-10-11,5.24
08-10-11,3.89
07-10-11,6.37
06-10-11,8.29
05-10-11,10.04
04-10-11,19.01
03-10-11,18.05
02-10-11,21.54
01-10-11,18.13

