Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-10-11,40.50
30-10-11,37.43
29-10-11,31.63
28-10-11,21.86
27-10-11,21.98
26-10-11,23.69
25-10-11,18.57
24-10-11,24.17
23-10-11,24.58
22-10-11,22.39
21-10-11,19.95
20-10-11,7.02
19-10-11,3.34
18-10-11,18.01
17-10-11,20.08
16-10-11,14.30
15-10-11,12.60
14-10-11,8.54
13-10-11,5.10
12-10-11,3.26
11-10-11,3.09
10-10-11,5.33
09-10-11,5.11
08-10-11,2.99
07-10-11,4.43
06-10-11,5.89
05-10-11,7.49
04-10-11,15.60
03-10-11,14.94
02-10-11,16.50
01-10-11,15.11

