Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-10-11,20.56
30-10-11,32.41
29-10-11,32.76
28-10-11,24.76
27-10-11,22.21
26-10-11,22.76
25-10-11,27.82
24-10-11,27.26
23-10-11,22.51
22-10-11,25.01
21-10-11,17.96
20-10-11,7.19
19-10-11,3.78
18-10-11,14.07
17-10-11,21.39
16-10-11,16.27
15-10-11,13.58
14-10-11,8.74
13-10-11,5.56
12-10-11,2.65
11-10-11,3.31
10-10-11,5.13
09-10-11,3.23
08-10-11,2.17
07-10-11,4.10
06-10-11,5.24
05-10-11,7.10
04-10-11,13.88
03-10-11,19.81
02-10-11,23.96
01-10-11,14.69

