Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-11,22.20
30-10-11,20.08
29-10-11,29.01
28-10-11,17.37
27-10-11,20.06
26-10-11,17.05
25-10-11,25.94
24-10-11,28.49
23-10-11,24.34
22-10-11,17.74
21-10-11,14.41
20-10-11,5.38
19-10-11,3.16
18-10-11,9.35
17-10-11,16.60
16-10-11,13.03
15-10-11,7.89
14-10-11,4.33
13-10-11,3.81
12-10-11,3.08
11-10-11,3.39
10-10-11,4.04
09-10-11,3.17
08-10-11,1.96
07-10-11,3.63
06-10-11,5.11
05-10-11,6.79
04-10-11,13.78
03-10-11,14.21
02-10-11,10.05
01-10-11,8.88

