Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
31-10-05,44
30-10-05,47
29-10-05,45
28-10-05,37
27-10-05,38
26-10-05,24
25-10-05,21
24-10-05,27
23-10-05,12
22-10-05,26
21-10-05,66
20-10-05,55
19-10-05,41
18-10-05,17
17-10-05,18
16-10-05,20
15-10-05,59
14-10-05,58
13-10-05,57
12-10-05,60
11-10-05,51
10-10-05,56
09-10-05,40
08-10-05,41
07-10-05,54
06-10-05,57
05-10-05,53
04-10-05,49
03-10-05,27
02-10-05,21
01-10-05,23

