Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
31-10-05,39
30-10-05,41
29-10-05,34
28-10-05,23
27-10-05,25
26-10-05,15
25-10-05,10
24-10-05,12
23-10-05,6
22-10-05,17
21-10-05,50
20-10-05,41
19-10-05,29
18-10-05,15
17-10-05,13
16-10-05,25
15-10-05,54
14-10-05,46
13-10-05,44
12-10-05,51
11-10-05,40
10-10-05,42
09-10-05,30
08-10-05,31
07-10-05,46
06-10-05,43
05-10-05,49
04-10-05,44
03-10-05,25
02-10-05,17
01-10-05,15

