Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
30-11-06,66
29-11-06,51
28-11-06,60
27-11-06,83
26-11-06,40
25-11-06,37
24-11-06,43
23-11-06,31
22-11-06,21
21-11-06,31
20-11-06,34
19-11-06,23
18-11-06,36
17-11-06,64
16-11-06,55
15-11-06,
14-11-06,
13-11-06,22
12-11-06,8
11-11-06,23
10-11-06,41
09-11-06,18
08-11-06,47
07-11-06,66
06-11-06,37
05-11-06,26
04-11-06,26
03-11-06,31
02-11-06,31
01-11-06,26

