Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-09,9.35
30-05-09,8.21
29-05-09,4.41
28-05-09,6.17
27-05-09,6.26
26-05-09,14.76
25-05-09,13.36
24-05-09,10.73
23-05-09,9.74
22-05-09,7.62
21-05-09,10.49
20-05-09,10.44
19-05-09,8.78
18-05-09,7.59
17-05-09,12.03
16-05-09,9.10
15-05-09,14.13
14-05-09,11.42
13-05-09,9.06
12-05-09,7.98
11-05-09,13.05
10-05-09,11.08
09-05-09,11.78
08-05-09,10.25
07-05-09,9.11
06-05-09,8.86
05-05-09,10.15
04-05-09,7.72
03-05-09,24.97
02-05-09,25.33
01-05-09,38.70

