Datum Zeit,Bautzen PM10
,µg/m³
31-05-09,22
30-05-09,18
29-05-09,14
28-05-09,16
27-05-09,16
26-05-09,33
25-05-09,29
24-05-09,17
23-05-09,16
22-05-09,18
21-05-09,20
20-05-09,21
19-05-09,20
18-05-09,16
17-05-09,18
16-05-09,20
15-05-09,29
14-05-09,22
13-05-09,19
12-05-09,17
11-05-09,28
10-05-09,22
09-05-09,22
08-05-09,27
07-05-09,29
06-05-09,15
05-05-09,23
04-05-09,22
03-05-09,29
02-05-09,36
01-05-09,75

