Datum Zeit,Freiberg PM10
,µg/m³
31-05-09,17
30-05-09,18
29-05-09,10
28-05-09,15
27-05-09,11
26-05-09,28
25-05-09,25
24-05-09,14
23-05-09,14
22-05-09,17
21-05-09,17
20-05-09,24
19-05-09,19
18-05-09,16
17-05-09,14
16-05-09,15
15-05-09,26
14-05-09,30
13-05-09,29
12-05-09,27
11-05-09,22
10-05-09,20
09-05-09,20
08-05-09,21
07-05-09,23
06-05-09,15
05-05-09,18
04-05-09,27
03-05-09,27
02-05-09,31
01-05-09,73

