Datum Zeit,Carlsfeld PM10
,µg/m³
28-02-17,
27-02-17,
26-02-17,
25-02-17,
24-02-17,
23-02-17,
22-02-17,
21-02-17,
20-02-17,
19-02-17,
18-02-17,
17-02-17,
16-02-17,
15-02-17,
14-02-17,
13-02-17,17
12-02-17,20
11-02-17,21
10-02-17,25
09-02-17,26
08-02-17,30
07-02-17,22
06-02-17,8
05-02-17,3
04-02-17,6
03-02-17,3
02-02-17,7
01-02-17,7

