Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-09-11,14.33
29-09-11,16.04
28-09-11,17.07
27-09-11,29.22
26-09-11,21.62
25-09-11,19.44
24-09-11,18.06
23-09-11,19.29
22-09-11,14.49
21-09-11,20.66
20-09-11,16.68
19-09-11,8.97
18-09-11,5.21
17-09-11,15.39
16-09-11,11.98
15-09-11,14.17
14-09-11,14.05
13-09-11,11.62
12-09-11,8.90
11-09-11,14.01
10-09-11,10.62
09-09-11,9.62
08-09-11,6.40
07-09-11,14.46
06-09-11,17.12
05-09-11,10.53
04-09-11,15.10
03-09-11,15.10
02-09-11,19.60
01-09-11,24.36

