Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-11,10.99
29-09-11,11.37
28-09-11,14.59
27-09-11,25.38
26-09-11,21.97
25-09-11,18.77
24-09-11,14.96
23-09-11,14.67
22-09-11,11.97
21-09-11,13.67
20-09-11,13.44
19-09-11,6.56
18-09-11,9.19
17-09-11,14.57
16-09-11,10.66
15-09-11,10.09
14-09-11,9.27
13-09-11,8.98
12-09-11,6.47
11-09-11,10.43
10-09-11,8.02
09-09-11,7.82
08-09-11,6.26
07-09-11,7.45
06-09-11,7.76
05-09-11,9.79
04-09-11,16.62
03-09-11,18.43
02-09-11,16.22
01-09-11,11.80

