Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-11,16.89
29-09-11,14.79
28-09-11,19.90
27-09-11,23.24
26-09-11,22.32
25-09-11,18.30
24-09-11,16.27
23-09-11,17.83
22-09-11,14.72
21-09-11,20.10
20-09-11,16.79
19-09-11,9.07
18-09-11,5.91
17-09-11,13.06
16-09-11,14.90
15-09-11,10.13
14-09-11,8.76
13-09-11,7.59
12-09-11,6.03
11-09-11,9.77
10-09-11,9.61
09-09-11,8.53
08-09-11,5.79
07-09-11,
06-09-11,7.50
05-09-11,
04-09-11,14.82
03-09-11,14.48
02-09-11,21.27
01-09-11,15.62

