Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-09-11,15.45
29-09-11,15.90
28-09-11,20.80
27-09-11,25.36
26-09-11,24.76
25-09-11,19.57
24-09-11,14.66
23-09-11,16.50
22-09-11,13.47
21-09-11,18.27
20-09-11,18.61
19-09-11,11.25
18-09-11,11.03
17-09-11,17.19
16-09-11,18.19
15-09-11,11.66
14-09-11,9.96
13-09-11,10.62
12-09-11,8.32
11-09-11,10.64
10-09-11,10.07
09-09-11,9.52
08-09-11,7.77
07-09-11,8.21
06-09-11,9.26
05-09-11,14.75
04-09-11,15.44
03-09-11,18.08
02-09-11,23.83
01-09-11,17.93

