Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,,,,,,15,14.70,,,
2017-10-01,01:00,,1,7,72,,,21,,
2017-10-01,02:00,,1,7,69,,,22,,
2017-10-01,03:00,,1,8,65,,,22,,
2017-10-01,04:00,,1,8,63,,,21,,
2017-10-01,05:00,,1,9,60,,,21,,
2017-10-01,06:00,,1,10,59,,,21,,
2017-10-01,07:00,,1,10,57,,,21,,
2017-10-01,08:00,,1,11,53,,,22,,
2017-10-01,09:00,,1,14,45,,,22,,
2017-10-01,10:00,,2,16,37,,,28,,
2017-10-01,11:00,,1,10,43,,,24,,
2017-10-01,12:00,,1,5,53,,,7,,
2017-10-01,13:00,,1,4,58,,,4,,
2017-10-01,14:00,,1,5,56,,,4,,
2017-10-01,15:00,,1,5,57,,,4,,
2017-10-01,16:00,,1,4,55,,,5,,
2017-10-01,17:00,,1,6,51,,,4,,
2017-10-01,18:00,,1,9,38,,,5,,
2017-10-01,19:00,,1,13,29,,,8,,
2017-10-01,20:00,,1,16,24,,,9,,
2017-10-01,21:00,,1,32,15,,,11,,
2017-10-01,22:00,,1,25,19,,,10,,
2017-10-01,23:00,,1,29,11,,,13,,
2017-10-02,,,,,,15,15.29,,,
2017-10-02,00:00,,4,30,9,,,17,,
2017-10-02,01:00,,1,26,18,,,22,,
2017-10-02,02:00,,1,19,20,,,25,,
2017-10-02,03:00,,1,23,16,,,29,,
2017-10-02,04:00,,1,26,16,,,31,,
2017-10-02,05:00,,1,29,13,,,34,,
2017-10-02,06:00,,1,28,12,,,40,,
2017-10-02,07:00,,3,26,13,,,39,,
2017-10-02,08:00,,7,24,17,,,38,,
2017-10-02,09:00,,7,22,22,,,34,,
2017-10-02,10:00,,5,16,38,,,27,,
2017-10-02,11:00,,2,8,60,,,16,,
2017-10-02,12:00,,1,6,62,,,8,,
2017-10-02,13:00,,1,7,58,,,8,,
2017-10-02,14:00,,1,7,62,,,12,,
2017-10-02,15:00,,1,9,58,,,10,,
2017-10-02,16:00,,1,19,41,,,10,,
2017-10-02,17:00,,1,21,34,,,11,,
2017-10-02,18:00,,1,26,28,,,11,,
2017-10-02,19:00,,1,14,38,,,9,,
2017-10-02,20:00,,1,15,32,,,8,,
2017-10-02,21:00,,1,11,30,,,7,,
2017-10-02,22:00,,1,8,36,,,5,,
2017-10-02,23:00,,1,10,26,,,5,,
2017-10-03,,,,,,7,6.59,,,
2017-10-03,00:00,,1,9,26,,,4,,
2017-10-03,01:00,,1,8,29,,,4,,
2017-10-03,02:00,,1,6,37,,,5,,
2017-10-03,03:00,,1,4,56,,,7,,
2017-10-03,04:00,,1,4,61,,,7,,
2017-10-03,05:00,,1,5,56,,,7,,
