Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,,,,,,12,12.26,12,8.52,
2017-10-01,01:00,,1,7,67,,,,,2.4
2017-10-01,02:00,,1,7,64,,,,,2.4
2017-10-01,03:00,,1,7,61,,,,,2.5
2017-10-01,04:00,,1,8,59,,,,,2.6
2017-10-01,05:00,,1,7,58,,,,,3.0
2017-10-01,06:00,,1,7,57,,,,,3.1
2017-10-01,07:00,,1,9,54,,,,,3.4
2017-10-01,08:00,,1,9,53,,,,,3.3
2017-10-01,09:00,,1,13,47,,,,,4.2
2017-10-01,10:00,,1,18,39,,,,,4.7
2017-10-01,11:00,,1,11,43,,,,,3.3
2017-10-01,12:00,,1,9,50,,,,,1.8
2017-10-01,13:00,,1,9,56,,,,,1.4
2017-10-01,14:00,,1,9,56,,,,,1.1
2017-10-01,15:00,,1,15,47,,,,,0.5
2017-10-01,16:00,,1,14,46,,,,,0.5
2017-10-01,17:00,,1,16,41,,,,,0.5
2017-10-01,18:00,,1,28,27,,,,,0.5
2017-10-01,19:00,,1,25,24,,,,,0.5
2017-10-01,20:00,,1,31,16,,,,,0.5
2017-10-01,21:00,,1,33,13,,,,,0.5
2017-10-01,22:00,,1,31,14,,,,,0.5
2017-10-01,23:00,,2,32,6,,,,,0.5
2017-10-02,,,,,,16,15.51,16,10.46,
2017-10-02,00:00,,1,23,4,,,,,0.5
2017-10-02,01:00,,3,23,4,,,,,0.5
2017-10-02,02:00,,1,20,11,,,,,1.2
2017-10-02,03:00,,1,16,17,,,,,1.4
2017-10-02,04:00,,1,20,18,,,,,2.8
2017-10-02,05:00,,1,27,12,,,,,5.3
2017-10-02,06:00,,2,27,11,,,,,7.6
2017-10-02,07:00,,3,24,11,,,,,3.5
2017-10-02,08:00,,8,25,12,,,,,4.4
2017-10-02,09:00,,12,29,12,,,,,5.0
2017-10-02,10:00,,2,15,43,,,,,5.3
2017-10-02,11:00,,1,10,59,,,,,4.0
2017-10-02,12:00,,1,10,60,,,,,6.5
2017-10-02,13:00,,3,11,55,,,,,5.1
2017-10-02,14:00,,1,13,57,,,,,13.2
2017-10-02,15:00,,1,18,47,,,,,8.8
2017-10-02,16:00,,2,29,27,,,,,3.0
2017-10-02,17:00,,3,34,17,,,,,1.6
2017-10-02,18:00,,3,38,13,,,,,1.3
2017-10-02,19:00,,1,23,29,,,,,1.2
2017-10-02,20:00,,1,18,29,,,,,1.1
2017-10-02,21:00,,1,10,29,,,,,1.1
2017-10-02,22:00,,1,9,35,,,,,1.1
2017-10-02,23:00,,1,19,13,,,,,1.6
2017-10-03,,,,,,7,7.45,7,3.35,
2017-10-03,00:00,,1,15,17,,,,,2.5
2017-10-03,01:00,,1,9,23,,,,,2.4
2017-10-03,02:00,,1,12,23,,,,,2.3
2017-10-03,03:00,,1,6,51,,,,,1.5
2017-10-03,04:00,,1,4,58,,,,,1.1
2017-10-03,05:00,,1,7,43,,,,,0.5
2017-10-03,06:00,,1,6,47,,,,,0.5
2017-10-03,07:00,,1,6,46,,,,,1.0
2017-10-03,08:00,,1,10,45,,,,,1.2
2017-10-03,09:00,,1,11,40,,,,,1.3
2017-10-03,10:00,,1,11,44,,,,,1.4
2017-10-03,11:00,,1,9,53,,,,,1.1
2017-10-03,12:00,,1,10,51,,,,,1.0
2017-10-03,13:00,,1,7,60,,,,,1.6
2017-10-03,14:00,,1,6,64,,,,,1.7
2017-10-03,15:00,,1,5,68,,,,,1.3
2017-10-03,16:00,,1,6,64,,,,,1.3
2017-10-03,17:00,,1,7,59,,,,,1.5
2017-10-03,18:00,,1,9,56,,,,,1.2
2017-10-03,19:00,,1,13,44,,,,,1.5
2017-10-03,20:00,,1,10,46,,,,,1.4
2017-10-03,21:00,,1,8,49,,,,,0.5
2017-10-03,22:00,,1,6,54,,,,,1.0
2017-10-03,23:00,,1,8,51,,,,,1.2
2017-10-04,00:00,,1,7,52,,,,,1.2
2017-10-04,01:00,,1,7,46,,,,,1.1
2017-10-04,02:00,,1,6,45,,,,,0.5
2017-10-04,03:00,,1,7,43,,,,,0.5
2017-10-04,04:00,,1,6,44,,,,,0.5
2017-10-04,05:00,,1,7,42,,,,,0.5
2017-10-04,06:00,,1,14,36,,,,,1.1
2017-10-04,07:00,,1,20,32,,,,,1.5
2017-10-04,08:00,,1,20,33,,,,,2.9
2017-10-04,09:00,,2,16,37,,,,,2.7
2017-10-04,10:00,,2,10,48,,,,,1.6
2017-10-04,11:00,,2,10,53,,,,,1.4
2017-10-04,12:00,,1,8,59,,,,,1.3
2017-10-04,13:00,,1,8,62,,,,,1.2
2017-10-04,14:00,,1,8,64,,,,,1.1
2017-10-04,15:00,,1,10,63,,,,,1.3
2017-10-04,16:00,,1,11,59,,,,,1.1
2017-10-04,17:00,,1,13,54,,,,,0.5
2017-10-04,18:00,,1,13,52,,,,,0.5
2017-10-04,19:00,,1,13,49,,,,,0.5
2017-10-04,20:00,,1,16,46,,,,,2.0
2017-10-04,21:00,,1,11,54,,,,,1.5
2017-10-04,22:00,,1,7,60,,,,,1.4
2017-10-04,23:00,,1,7,58,,,,,1.1
2017-10-05,00:00,,1,6,57,,,,,0.5
2017-10-05,01:00,,1,6,58,,,,,0.5
2017-10-05,02:00,,1,5,59,,,,,0.5
2017-10-05,03:00,,1,5,59,,,,,0.5
2017-10-05,04:00,,1,6,56,,,,,1.0
2017-10-05,05:00,,1,6,57,,,,,1.0
2017-10-05,06:00,,1,7,58,,,,,0.5
2017-10-05,07:00,,1,12,50,,,,,2.0
2017-10-05,08:00,,1,15,42,,,,,1.4
2017-10-05,09:00,,1,19,34,,,,,1.2
2017-10-05,10:00,,1,18,35,,,,,1.2
2017-10-05,11:00,,1,13,45,,,,,1.0
2017-10-05,12:00,,1,11,48,,,,,0.5
2017-10-05,13:00,,1,10,50,,,,,0.5
2017-10-05,14:00,,1,9,51,,,,,1.0
2017-10-05,15:00,,1,8,52,,,,,1.0
2017-10-05,16:00,,1,8,53,,,,,0.5
2017-10-05,17:00,,1,12,56,,,,,0.5
2017-10-05,18:00,,2,15,60,,,,,0.5
2017-10-05,19:00,,1,15,61,,,,,0.5
2017-10-05,20:00,,1,11,62,,,,,0.5
2017-10-05,21:00,,1,8,61,,,,,1.1
2017-10-05,22:00,,1,5,62,,,,,1.6
2017-10-05,23:00,,1,4,62,,,,,1.3
2017-10-06,00:00,,1,4,62,,,,,1.3
2017-10-06,01:00,,1,4,62,,,,,1.2
2017-10-06,02:00,,1,3,62,,,,,1.0
2017-10-06,03:00,,1,3,62,,,,,0.5
2017-10-06,04:00,,1,4,60,,,,,0.5
2017-10-06,05:00,,1,5,58,,,,,0.5
