Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,,,,,,13,13.44,,8.62,
2017-10-01,01:00,0.9,21,40,,,,31,,3.1
2017-10-01,02:00,1.0,13,18,,,,27,,1.8
2017-10-01,03:00,0.3,8,11,,,,10,,1.3
2017-10-01,04:00,0.2,10,13,,,,7,,1.2
2017-10-01,05:00,0.2,6,13,,,,5,,1.1
2017-10-01,06:00,0.3,4,11,,,,4,,0.5
2017-10-01,07:00,0.2,5,11,,,,4,,1.0
2017-10-01,08:00,0.2,15,19,,,,5,,1.0
2017-10-01,09:00,0.4,44,33,,,,5,,1.2
2017-10-01,10:00,0.5,43,35,,,,5,,1.1
2017-10-01,11:00,1.5,50,39,,,,6,,1.5
2017-10-01,12:00,2.0,44,34,,,,8,,1.3
2017-10-01,13:00,0.9,45,35,,,,8,,1.4
2017-10-01,14:00,1.0,46,40,,,,9,,2.5
2017-10-01,15:00,1.3,42,36,,,,11,,2.9
2017-10-01,16:00,0.8,45,40,,,,12,,4.1
2017-10-01,17:00,0.8,44,43,,,,11,,3.0
2017-10-01,18:00,0.9,22,28,,,,13,,2.5
2017-10-01,19:00,0.6,25,33,,,,15,,1.6
2017-10-01,20:00,0.7,11,21,,,,13,,1.4
2017-10-01,21:00,0.5,11,22,,,,11,,1.1
2017-10-01,22:00,0.5,22,29,,,,13,,1.2
2017-10-01,23:00,0.6,16,28,,,,14,,1.2
2017-10-02,,,,,,13,12.81,,8.41,
2017-10-02,00:00,0.4,10,23,,,,15,,1.0
2017-10-02,01:00,0.5,10,20,,,,13,,0.5
2017-10-02,02:00,0.7,5,16,,,,13,,0.5
2017-10-02,03:00,0.4,11,18,,,,9,,0.5
2017-10-02,04:00,0.5,15,20,,,,10,,0.5
2017-10-02,05:00,0.6,26,25,,,,13,,0.5
2017-10-02,06:00,0.7,36,32,,,,12,,1.1
2017-10-02,07:00,0.6,49,40,,,,15,,1.9
2017-10-02,08:00,0.8,70,49,,,,16,,2.3
2017-10-02,09:00,0.9,73,49,,,,18,,2.2
2017-10-02,10:00,0.8,63,42,,,,17,,2.0
2017-10-02,11:00,0.9,63,45,,,,15,,1.6
2017-10-02,12:00,1.4,69,51,,,,17,,1.6
2017-10-02,13:00,1.6,80,60,,,,15,,1.6
2017-10-02,14:00,2.6,102,65,,,,12,,1.5
2017-10-02,15:00,2.9,105,67,,,,12,,1.5
2017-10-02,16:00,2.2,122,71,,,,12,,1.6
2017-10-02,17:00,3.2,99,65,,,,12,,1.4
2017-10-02,18:00,2.1,71,50,,,,12,,1.2
2017-10-02,19:00,1.9,58,42,,,,10,,1.1
2017-10-02,20:00,1.8,66,39,,,,8,,1.2
2017-10-02,21:00,2.1,38,33,,,,6,,1.1
2017-10-02,22:00,1.2,36,28,,,,6,,1.2
2017-10-02,23:00,1.1,39,26,,,,6,,1.1
2017-10-03,,,,,,10,10.24,,5.16,
2017-10-03,00:00,1.0,19,24,,,,7,,0.5
2017-10-03,01:00,0.7,8,15,,,,8,,1.9
2017-10-03,02:00,0.6,9,14,,,,6,,1.4
2017-10-03,03:00,0.2,7,15,,,,7,,1.3
2017-10-03,04:00,0.2,11,16,,,,7,,1.8
2017-10-03,05:00,0.4,12,20,,,,8,,2.3
