Datum,Zeit,BEN,NO,NO2,O3,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-11-01,01:00,,1,6,40,
2016-11-01,02:00,,1,10,35,
2016-11-01,03:00,,1,8,35,
2016-11-01,04:00,,1,6,37,
2016-11-01,05:00,,1,6,38,
2016-11-01,06:00,,1,7,36,
2016-11-01,07:00,,1,13,26,
2016-11-01,08:00,,12,37,7,
2016-11-01,09:00,,16,32,11,
2016-11-01,10:00,,12,27,23,
2016-11-01,11:00,,3,9,40,
2016-11-01,12:00,,3,10,44,
2016-11-01,13:00,,3,14,41,
2016-11-01,14:00,,2,13,47,
2016-11-01,15:00,,1,11,52,
2016-11-01,16:00,,1,13,45,
